LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
HE         2.000000      2.000000     4.000000        28.610022      25.639034        54.249057         -1.996734            1.417796         -0.602944          -7.043443          -4.349884        -21.209039      -4.108620      -3.404697        -28.722356       -10.878824        -11.241712           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.817592          4.777302        1.910495        1.922818          1.916666           2.071229   
HE         2.000000      4.000000     6.000000        28.211811      49.213041        77.424852         -3.735176            1.411855         -0.601420          -4.680710          -3.448291        -28.024886      -3.723316      -2.272954        -34.021157       -19.309275         -3.854313           0.000000             0.000001              0.000001              0.000000            0.000000              0.000000             5.269618          2.725376        1.917573        2.432311          2.273716           2.077760   
HE         2.000000      6.000000     8.000000        26.582050      68.891352        95.473402         -3.621475            1.371288         -0.584667          -3.538973          -3.087117        -29.141465      -3.362357      -2.290106        -34.793928       -24.217582         -1.254184           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.836632          2.313686        1.976717        2.822468          2.636588           2.132466   
HE         2.000000      8.000000    10.000000        25.295300      83.330860       108.626159         -2.604303            1.332208         -0.568315          -3.073763          -2.163271        -27.580564      -3.159140      -1.981003        -32.720707       -26.780260          0.483704           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.584398          1.887905        2.036200        3.223282          3.023386           2.187718   
HE         2.000000     10.000000    12.000000        24.501467      96.547788       121.049255         -2.150261            1.309090         -0.558506          -2.797986          -1.481073        -23.322259      -3.042830      -1.134604        -27.499694       -27.987392          1.923074           0.000000             0.000000              0.000000              0.000000            0.000001              0.000001             4.442193          1.159343        2.074222        3.734060          3.512322           2.223151   
HE         2.000000     12.000000    14.000000        23.689339     113.349292       137.038631         -2.548793            1.290904         -0.550809          -2.460980          -1.839515        -17.313437      -2.895800      -0.809262        -21.018500       -29.054294          2.424153           0.000000             0.000001              0.000001              0.000000            0.000002              0.000002             4.283192          0.878407        2.106010        4.031450          3.816334           2.252838   
HE         2.000000     14.000000    16.000000        22.765442     131.266088       154.031530         -2.822009            1.267858         -0.541122          -2.201833          -2.528958        -11.272834      -2.755170      -0.881307        -14.909310       -30.070946          2.448619           0.000000             0.000001              0.000001              0.000000            0.000002              0.000002             4.121386          0.886483        2.145797        4.244604          4.042293           2.290075   
HE         2.000000     16.000000    18.000000        21.932718     146.710975       168.643693         -2.748412            1.246465         -0.532104          -2.003997          -2.533083         -5.656684      -2.639662      -0.903175         -9.199521       -30.710607          2.413715           0.000000             0.000000              0.000000              0.000000            0.000002              0.000002             3.981891          0.843928        2.183882        4.446828          4.255240           2.325798   
HE         2.000000     18.000000    20.000000        21.391753     160.373281       181.765033         -2.484484            1.228237         -0.524416          -1.974673          -2.166294         -0.360363      -2.599677      -0.918330         -3.878370       -31.112675          2.416430           0.000000             0.000000              0.000000              0.000000            0.000002              0.000002             3.911860          0.790842        2.216181        4.642260          4.459447           2.356154   
HE         2.000000     20.000000    22.000000        21.195827     173.399150       194.594976         -2.332882            1.219040         -0.520570          -2.000842          -1.710850          4.798280      -2.607845      -0.867123          1.323312       -31.463625          2.489156          -0.000001             0.000000              0.000000              0.000000            0.000001              0.000001             3.903906          0.730629        2.232598        4.838375          4.662064           2.371602   
