LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
HE         2.000000      2.000000     4.000000        24.337906      24.519951        48.857856         -0.666049            1.286062         -0.545470          -2.425565          -2.464295        -23.869740      -3.371132      -3.395514        -30.636386        -6.537177         -7.367688           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.804649          4.842224        2.129531        2.121250          2.125395           2.274841   
HE         2.000000      4.000000     6.000000        26.672808      50.684014        77.356822         -2.530427            1.338549         -0.569019          -2.658735          -2.850681        -29.144551      -3.419663      -2.060086        -34.624301       -15.261305         -1.718873           0.000000             0.000001              0.000001              0.000000            0.000000              0.000000             5.053422          2.511651        2.040672        2.629575          2.449059           2.191881   
HE         2.000000      6.000000     8.000000        25.979117      72.366017        98.345134         -2.973156            1.325693         -0.564402          -2.314886          -2.927184        -30.518966      -3.152048      -2.396051        -36.067065       -21.129379         -0.119390           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.793817          2.405956        2.058241        2.946318          2.751306           2.208247   
HE         2.000000      8.000000    10.000000        25.434073      87.758842       113.192915         -2.334563            1.302956         -0.555236          -2.441664          -1.928256        -29.215254      -3.128633      -2.123829        -34.467716       -24.628034          1.392575           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.706502          1.982681        2.090042        3.305845          3.101056           2.237918   
HE         2.000000     10.000000    12.000000        24.652694     101.232044       125.884738         -1.957068            1.288722         -0.549317          -2.222717          -1.408475        -25.002481      -2.993245      -1.207235        -29.202960       -26.329207          2.806594           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.542219          1.237255        2.114086        3.827372          3.598917           2.260390   
HE         2.000000     12.000000    14.000000        24.300879     118.301741       142.602621         -2.574814            1.272295         -0.542509          -2.400924          -2.153393        -18.395571      -3.031545      -0.925919        -22.353035       -27.724844          3.334922           0.000000             0.000001              0.000001              0.000000            0.000002              0.000002             4.525899          0.997679        2.138860        4.122520          3.901387           2.283577   
HE         2.000000     14.000000    16.000000        23.408966     136.130750       159.539716         -3.061300            1.252305         -0.534199          -2.228329          -3.104645        -11.709443      -2.901333      -1.048572        -15.659348       -28.955818          3.329651           0.000000             0.000001              0.000001              0.000000            0.000002              0.000002             4.358621          1.034977        2.173166        4.339897          4.131670           2.315740   
HE         2.000000     16.000000    18.000000        22.645782     151.577607       174.223389         -3.170645            1.234860         -0.526932          -2.088159          -3.281439         -5.342823      -2.795132      -1.080913         -9.218868       -29.832461          3.289532          -0.000001             0.000000              0.000000              0.000000            0.000000              0.000000             4.218964          0.998705        2.204090        4.546205          4.348714           2.344784   
HE         2.000000     18.000000    20.000000        22.090162     165.595780       187.685942         -3.015570            1.222439         -0.521771          -1.977724          -3.325167          0.801560      -2.719867      -1.098662         -3.016969       -30.447733          3.272401          -0.000001             0.000000              0.000000              0.000000            0.000001              0.000001             4.118206          0.965529        2.226770        4.751906          4.562718           2.366116   
HE         2.000000     20.000000    22.000000        21.988032     178.824516       200.812548         -2.899461            1.217654         -0.519884          -2.022207          -3.142918          6.820917      -2.730481      -1.102497          2.987939       -30.991684          3.289437          -0.000001             0.000000              0.000000              0.000000            0.000000              0.000000             4.110856          0.920234        2.234477        4.960140          4.777055           2.373370   
