EDF       Z     N      beta_2     beta_3  
SV-min     2     2   0.000194   0.000005  
SV-min     2     4   0.000054   0.000004  
SV-min     2     6   0.000005   -0.000000  
SV-min     4     2   0.000009   0.000000  
SV-min     4     4   0.014597   0.006028  
SV-min     4     6   0.000247   0.000002  
SV-min     4     8   0.002024   0.000336  
SV-min     6     4   0.000194   0.000007  
SV-min     6     6   -0.000000   0.000000  
SV-min     6     8   0.011646   0.010969  
SV-min     6    10   0.000314   -0.000000  
SV-min     6    12   0.000366   -0.000000  
SV-min     6    14   0.000003   0.000000  
SV-min     6    16   0.000007   -0.000000  
SV-min     8     6   0.003298   0.000801  
SV-min     8     8   0.000231   0.000001  
SV-min     8    10   0.002244   0.000018  
SV-min     8    12   0.005594   0.000233  
SV-min     8    14   0.000001   0.000000  
SV-min     8    16   0.002819   0.000476  
SV-min     8    18   -0.000084   -0.000000  
SV-min     8    20   0.000224   0.000008  
SV-min    10     8   0.004650   0.000614  
SV-min    10    10   -0.000528   -0.000000  
SV-min    10    12   -0.000000   -0.000000  
SV-min    10    14   0.001944   0.006304  
SV-min    10    16   -0.000000   -0.000000  
SV-min    10    18   0.000499   0.000009  
SV-min    10    20   -0.000000   0.000000  
SV-min    10    22   0.010280   0.000802  
SV-min    10    24   0.044792   -0.000000  
SV-min    12     8   0.000334   -0.000000  
SV-min    12    10   0.008504   -0.000000  
SV-min    12    12   0.056335   0.000000  
SV-min    12    14   -0.018371   -0.000000  
SV-min    12    16   0.000108   0.000006  
SV-min    12    18   -0.000207   0.000006  
SV-min    12    20   0.000297   0.000005  
SV-min    12    22   0.000715   0.000000  
SV-min    12    24   0.150686   -0.000000  
SV-min    12    26   0.180294   -0.000000  
SV-min    12    28   0.136662   -0.000000  
SV-min    12    30   -0.054050   0.000000  
SV-min    12    32   0.000046   0.000000  
SV-min    14    10   0.000000   -0.000000  
SV-min    14    12   -0.023399   0.000000  
SV-min    14    14   0.000000   0.000000  
SV-min    14    16   -0.000000   -0.000000  
SV-min    14    18   0.000000   -0.000000  
SV-min    14    20   0.000017   0.000014  
SV-min    14    22   -0.000458   -0.000000  
SV-min    14    24   0.058764   -0.000000  
