EDF       Z     N      beta_2     beta_3  
  SLY4     2     2   -0.000000   0.000000  
  SLY4     2     4   0.000686   0.000393  
  SLY4     2     6   -0.000001   -0.000000  
  SLY4     4     2   0.000985   0.000601  
  SLY4     4     4   0.000000   -0.000000  
  SLY4     4     6   0.000000   0.000000  
  SLY4     4     8   0.000962   0.000303  
  SLY4     6     4   0.000000   -0.000000  
  SLY4     6     6   0.006360   0.004971  
  SLY4     6     8   -0.000000   -0.000000  
  SLY4     6    10   0.007212   0.003460  
  SLY4     6    12   0.000004   -0.000000  
  SLY4     6    14   0.000022   -0.000000  
  SLY4     6    16   0.000089   -0.000000  
  SLY4     8     6   0.000181   0.000005  
  SLY4     8     8   0.022425   0.048868  
  SLY4     8    10   0.003185   0.000205  
  SLY4     8    12   0.003281   0.000083  
  SLY4     8    14   0.000279   -0.000000  
  SLY4     8    16   0.019631   0.025069  
  SLY4     8    18   0.025420   0.025297  
  SLY4    10     8   0.000856   0.000025  
  SLY4    10    10   0.004928   0.002421  
  SLY4    10    12   0.006066   0.006289  
  SLY4    10    14   0.000428   -0.000000  
  SLY4    10    16   0.000285   -0.000000  
  SLY4    10    18   -0.000204   -0.000000  
  SLY4    10    20   0.000004   -0.000000  
  SLY4    12     8   0.003394   0.003791  
  SLY4    12    10   0.000435   0.000004  
  SLY4    12    12   -0.019908   -0.000000  
  SLY4    12    14   -0.019323   0.000712  
  SLY4    12    16   -0.000425   -0.000000  
  SLY4    12    18   0.000155   0.000024  
  SLY4    12    20   -0.000250   -0.000000  
  SLY4    12    22   0.002644   0.000085  
  SLY4    12    24   0.058080   -0.000000  
  SLY4    12    26   0.146404   -0.000000  
  SLY4    12    28   0.120725   -0.000000  
  SLY4    14    10   0.000528   0.017621  
  SLY4    14    12   -0.022391   -0.000000  
  SLY4    14    14   -0.000788   0.000000  
  SLY4    14    16   -0.000435   -0.000000  
  SLY4    14    18   0.000276   -0.000000  
  SLY4    14    20   0.000166   0.000033  
  SLY4    14    22   0.000343   0.000009  
  SLY4    14    24   0.036568   -0.000000  
  SLY4    14    26   0.121109   -0.000000  
  SLY4    14    28   0.110073   -0.000000  
  SLY4    14    30   -0.077088   -0.000000  
  SLY4    14    32   -0.000762   -0.000000  
  SLY4    16    12   0.000000   0.000000  
  SLY4    16    14   -0.000074   0.000020  
  SLY4    16    16   0.000343   0.000000  
  SLY4    16    18   -0.000745   0.000065  
  SLY4    16    20   0.000156   0.000031  
  SLY4    16    22   0.000269   0.000017  
  SLY4    16    24   -0.000042   0.000037  
  SLY4    16    26   0.041917   -0.000000  
  SLY4    16    28   -0.053524   0.000564  
  SLY4    16    30   -0.050705   0.000000  
  SLY4    16    32   -0.000606   -0.000000  
  SLY4    16    34   -0.000377   -0.000000  
  SLY4    18    14   -0.000319   -0.000000  
  SLY4    18    16   -0.000051   0.000018  
  SLY4    18    18   0.000190   0.000009  
  SLY4    18    20   0.000155   0.000017  
  SLY4    18    22   0.000253   0.000125  
  SLY4    18    24   -0.000306   -0.000000  
  SLY4    18    26   -0.000470   0.000000  
  SLY4    18    28   0.000571   -0.000000  
  SLY4    18    30   -0.000469   0.000000  
  SLY4    18    32   -0.000351   -0.000000  
  SLY4    18    34   -0.000272   0.000000  
  SLY4    18    36   -0.000224   -0.000000  
  SLY4    18    38   -0.000185   -0.000000  
  SLY4    18    40   -0.000188   0.000000  
  SLY4    20    16   0.000093   0.000024  
  SLY4    20    18   0.000037   0.000052  
  SLY4    20    20   0.000109   0.000036  
  SLY4    20    22   0.000149   0.000021  
  SLY4    20    24   0.000219   0.000003  
  SLY4    20    26   -0.000269   -0.000000  
  SLY4    20    28   0.000295   -0.000000  
  SLY4    20    30   -0.000273   0.000000  
  SLY4    20    32   0.000238   0.000003  
  SLY4    20    34   -0.000209   -0.000000  
  SLY4    20    36   0.000167   -0.000034  
  SLY4    20    38   0.000139   -0.000070  
  SLY4    20    40   0.000089   -0.000139  
  SLY4    20    42   -0.000147   0.000000  
  SLY4    20    44   0.000190   -0.000000  
  SLY4    20    46   0.000040   0.000001  
  SLY4    20    48   0.000029   -0.000001  
  SLY4    22    18   -0.000026   0.000057  
  SLY4    22    20   0.000076   0.000058  
  SLY4    22    22   0.000164   0.000014  
  SLY4    22    24   0.000050   0.000024  
  SLY4    22    26   -0.000296   -0.000000  
  SLY4    22    28   0.000324   -0.000000  
  SLY4    22    30   0.000310   -0.000000  
  SLY4    22    32   -0.000291   -0.000000  
  SLY4    22    34   -0.000253   0.000042  
  SLY4    22    36   0.000214   -0.000008  
  SLY4    22    38   0.000171   -0.000000  
  SLY4    22    40   0.000144   0.000000  
  SLY4    22    42   0.000133   -0.000072  
  SLY4    22    44   -0.000000   0.000000  
  SLY4    22    46   -0.000000   0.000000  
  SLY4    22    48   0.000002   0.000000  
  SLY4    22    50   -0.000343   -0.000000  
  SLY4    24    20   -0.000020   0.000019  
  SLY4    24    22   0.000239   0.000002  
  SLY4    24    24   0.000193   0.000037  
  SLY4    24    26   -0.000485   -0.000000  
  SLY4    24    28   0.001107   -0.000000  
  SLY4    24    30   -0.004040   -0.000000  
  SLY4    24    32   0.006395   0.000000  
  SLY4    24    34   0.006137   0.000000  
  SLY4    24    36   0.000352   -0.000000  
  SLY4    24    38   -0.000242   -0.000000  
  SLY4    24    40   -0.000186   -0.000000  
  SLY4    24    42   0.000189   -0.000022  
  SLY4    24    44   -0.000000   -0.000000  
  SLY4    24    46   0.004016   -0.000000  
  SLY4    24    48   0.000357   -0.000000  
  SLY4    24    50   -0.000410   -0.000000  
  SLY4    24    52   -0.002018   -0.000000  
  SLY4    24    54   0.000005   -0.000000  
  SLY4    26    20   0.000273   0.000002  
  SLY4    26    22   -0.000294   0.000013  
  SLY4    26    24   -0.000000   -0.000000  
  SLY4    26    26   -0.000000   0.000000  
  SLY4    26    28   -0.000814   0.000000  
  SLY4    26    30   -0.000000   0.000000  
  SLY4    26    32   -0.014177   -0.000000  
  SLY4    26    34   -0.000000   0.000000  
  SLY4    26    36   0.000535   -0.000000  
  SLY4    26    38   0.000310   -0.000000  
