EDF       Z     N      beta_2     beta_3  
UNEDF2     2     2   0.000171   0.000005  
UNEDF2     2     4   0.000082   0.000006  
UNEDF2     2     6   0.000007   0.000000  
UNEDF2     4     2   0.000001   -0.000000  
UNEDF2     4     4   0.000378   0.000000  
UNEDF2     4     6   0.000259   0.000002  
UNEDF2     4     8   0.012678   0.006378  
UNEDF2     6     4   0.000239   0.000007  
UNEDF2     6     6   -0.000000   -0.000000  
UNEDF2     6     8   0.004296   0.000512  
UNEDF2     6    10   0.005905   0.000184  
UNEDF2     6    12   0.000397   0.000000  
UNEDF2     6    14   0.000007   -0.000000  
UNEDF2     6    16   0.000012   0.000000  
UNEDF2     8     4   -0.000230   0.000000  
UNEDF2     8     6   0.071373   0.128753  
UNEDF2     8     8   -0.000001   -0.000000  
UNEDF2     8    10   -0.000334   0.000000  
UNEDF2     8    12   0.012330   0.005250  
UNEDF2     8    14   0.000000   -0.000000  
UNEDF2     8    16   0.000001   -0.000000  
UNEDF2     8    18   0.002378   0.000489  
UNEDF2    10     8   -0.000264   -0.000000  
UNEDF2    10    10   0.042395   -0.000000  
UNEDF2    10    12   0.079119   0.000000  
UNEDF2    10    14   -0.005248   -0.000000  
UNEDF2    10    16   0.003065   0.001613  
UNEDF2    10    18   0.000956   0.000029  
UNEDF2    10    20   0.001918   0.000031  
UNEDF2    10    22   0.063330   -0.000000  
UNEDF2    10    24   0.133661   0.000000  
UNEDF2    12     8   0.007031   0.007277  
UNEDF2    12    10   0.089020   -0.000000  
UNEDF2    12    12   0.144847   0.000000  
UNEDF2    12    14   -0.081554   -0.000000  
UNEDF2    12    16   -0.000000   0.000000  
UNEDF2    12    18   -0.000570   0.000039  
UNEDF2    12    20   0.000000   -0.000000  
UNEDF2    12    22   0.135647   -0.000011  
UNEDF2    12    24   0.213559   -0.000007  
UNEDF2    12    26   0.209842   0.000000  
UNEDF2    12    28   0.157322   0.000000  
UNEDF2    12    30   -0.076168   0.000000  
UNEDF2    12    32   0.000052   -0.000000  
UNEDF2    14     8   0.000001   0.000000  
UNEDF2    14    10   0.043129   -0.000000  
UNEDF2    14    12   -0.102505   -0.000000  
UNEDF2    14    14   -0.000000   -0.000000  
UNEDF2    14    16   0.001685   0.000000  
UNEDF2    14    18   -0.000779   0.000000  
UNEDF2    14    20   0.000000   0.000000  
UNEDF2    14    22   0.000414   0.000064  
UNEDF2    14    24   0.146756   -0.000018  
UNEDF2    14    26   0.160702   -0.000003  
UNEDF2    14    28   -0.128661   -0.000000  
UNEDF2    14    30   -0.073961   -0.000000  
UNEDF2    14    32   -0.000319   -0.000000  
UNEDF2    14    34   0.000022   0.000000  
UNEDF2    16    10   0.000003   -0.000000  
UNEDF2    16    12   0.000000   0.000000  
UNEDF2    16    14   -0.000000   -0.000000  
UNEDF2    16    16   -0.000922   0.000000  
UNEDF2    16    18   -0.000437   0.000000  
UNEDF2    16    20   0.000202   0.000000  
UNEDF2    16    22   0.001411   0.000368  
UNEDF2    16    24   0.099795   0.000010  
UNEDF2    16    26   0.113285   0.000007  
UNEDF2    16    28   -0.091112   -0.000000  
UNEDF2    16    30   0.000001   0.000000  
UNEDF2    16    32   -0.000262   0.000000  
UNEDF2    16    34   0.001571   0.000007  
UNEDF2    18    14   -0.012309   0.000378  
UNEDF2    18    16   0.000529   0.000033  
UNEDF2    18    18   0.000155   -0.000000  
UNEDF2    18    20   -0.001143   -0.000000  
UNEDF2    18    22   -0.000603   0.000000  
UNEDF2    18    24   0.036449   0.000000  
UNEDF2    18    26   0.036241   -0.000000  
UNEDF2    18    28   -0.000000   0.000000  
UNEDF2    18    30   -0.000268   0.000000  
UNEDF2    18    32   0.000691   -0.000012  
UNEDF2    18    34   0.000708   -0.000032  
UNEDF2    18    36   -0.000002   0.000000  
UNEDF2    18    38   -0.000002   0.000000  
UNEDF2    18    40   -0.000003   -0.000001  
UNEDF2    20    14   -0.000000   0.000000  
UNEDF2    20    16   0.000000   0.000000  
UNEDF2    20    18   0.000041   0.000000  
UNEDF2    20    20   -0.000081   -0.000000  
UNEDF2    20    22   -0.000000   0.000000  
UNEDF2    20    24   -0.000191   0.000000  
UNEDF2    20    26   -0.000308   -0.000000  
