  Z      N    UNEDF0    UNEDF1    UNEDF2      SkM*      SLy4    SV-MIN     Total
  4      8         1         0         0         0         0         0         1
  6      8         0         0         0         0         0         1         1
  8      6         0         0         1         0         0         0         1
  8      8         0         0         0         0         1         0         1
  8     16         0         0         0         0         1         0         1
  8     18         0         0         0         1         1         0         2
 10      6         0         0         0         1         0         0         1
 14     10         0         0         0         0         1         0         1
 38     58         0         0         1         0         0         0         1
 38     60         0         0         1         0         0         0         1
 40     56         0         0         1         0         0         0         1
 40     58         0         1         1         0         0         0         2
 40     60         0         1         1         0         0         0         2
 40     70         0         1         0         0         0         0         1
 40     94         0         0         1         0         0         0         1
 42     40         0         0         1         0         0         0         1
 42     56         0         0         1         0         0         0         1
 42     58         0         1         1         0         0         0         2
 42     60         0         0         1         0         0         0         1
 42     72         0         1         0         0         0         0         1
 42     76         0         0         1         0         0         0         1
 42     94         0         0         1         0         0         0         1
 44     56         0         0         1         0         0         0         1
 52     56         0         0         1         0         0         0         1
 52     58         0         0         1         0         0         0         1
 52     86         0         0         1         0         0         0         1
 52     88         0         0         1         0         0         0         1
 54     56         1         1         1         0         0         0         3
 54     58         1         1         1         1         0         1         5
 54     60         1         0         0         0         0         0         1
 54     86         1         0         1         0         0         1         3
 54     88         1         1         1         1         1         1         6
 54     90         1         1         1         1         1         1         6
 54     92         1         1         0         1         1         1         5
 54     94         1         0         0         0         0         1         2
 54     96         0         0         0         0         1         0         1
 56     58         0         1         1         0         0         0         2
 56     84         0         0         1         0         0         0         1
 56     86         1         1         1         1         1         1         6
 56     88         1         1         1         1         1         1         6
 56     90         1         1         1         1         1         1         6
 56     92         1         1         1         1         1         1         6
 56     94         1         1         1         0         1         1         5
 56     96         1         1         1         0         0         1         4
 58     84         0         0         1         0         0         0         1
 58     86         1         1         1         1         1         1         6
 58     88         1         1         1         1         1         1         6
 58     90         1         1         1         1         1         1         6
 58     92         0         0         0         1         1         0         2
 58    132         1         0         0         0         0         0         1
 58    134         1         0         0         1         0         0         2
 58    136         1         0         0         1         0         0         2
 58    138         0         0         0         1         0         0         1
 58    140         0         0         0         1         0         0         1
 60     84         0         1         1         0         0         1         3
 60     86         1         1         1         1         1         1         6
 60     88         1         1         1         1         1         1         6
 60     90         0         1         1         1         1         0         4
 60     98         0         1         0         0         0         0         1
 60    132         1         1         0         0         0         0         2
 60    134         1         1         0         1         0         0         3
 60    136         1         1         0         1         0         0         3
 60    138         1         0         0         1         0         0         2
 62     84         0         1         1         0         0         1         3
 62     86         0         1         1         1         0         1         4
 62     88         0         1         1         1         1         1         5
 62     90         0         0         1         0         0         0         1
 62     94         0         0         1         0         0         0         1
 62     96         0         1         1         0         0         0         2
 62    106         0         0         0         0         0         1         1
 62    130         1         1         1         0         0         1         4
 62    132         1         1         1         1         0         1         5
 62    134         1         1         1         1         0         1         5
 62    136         1         1         1         1         0         1         5
 62    138         0         1         1         1         0         1         4
 62    140         0         1         1         0         0         1         3
 62    142         0         0         1         0         0         0         1
 64     84         0         1         1         0         0         1         3
 64     86         0         1         1         1         0         1         4
 64     88         0         1         1         1         0         0         3
 64     90         0         0         1         0         0         0         1
 64    128         0         0         1         0         0         0         1
 64    130         0         1         1         0         0         1         3
 64    132         0         1         1         1         0         1         4
 64    134         0         1         1         1         0         1         4
 64    136         0         1         1         1         0         1         4
 64    138         0         1         1         0         0         1         3
 64    140         0         1         1         0         0         0         2
 64    142         0         0         1         0         0         0         1
 66     84         0         1         1         0         0         0         2
 66     86         0         1         1         1         0         1         4
 66     88         0         0         1         1         0         0         2
 66     90         0         0         1         0         0         0         1
 66    128         0         0         1         0         0         0         1
 66    130         0         1         1         0         0         1         3
 66    132         0         1         1         1         0         1         4
 66    134         0         1         1         1         1         1         5
 66    136         0         1         1         1         1         1         5
 66    138         0         1         1         0         0         1         3
 66    140         0         0         1         0         0         0         1
 68     84         0         0         1         0         0         0         1
 68     86         0         1         1         1         0         0         3
 68     88         0         0         1         0         0         0         1
 68    128         0         0         1         0         0         0         1
 68    130         0         1         1         0         0         1         3
 68    132         0         1         1         1         1         1         5
 68    134         0         1         1         1         1         1         5
 68    136         0         1         1         1         0         1         4
 68    138         0         1         1         0         0         0         2
 68    140         0         0         1         0         0         0         1
 70     86         0         0         1         0         0         0         1
 70     88         0         0         1         0         0         0         1
 70     90         0         0         1         0         0         0         1
 70    130         0         0         1         0         0         0         1
 70    132         0         1         1         1         0         1         4
 70    134         0         1         1         1         0         1         4
 70    136         0         1         1         1         0         1         4
 70    138         0         1         1         0         0         1         3
 70    140         0         1         0         0         0         0         1
 72     88         0         0         1         0         0         0         1
 72     90         0         0         1         0         0         0         1
 72    130         0         0         1         0         0         0         1
 72    132         0         1         1         1         0         0         3
 72    134         0         1         1         1         0         0         3
 72    136         0         1         1         1         0         0         3
 72    138         0         1         1         0         0         0         2
 74     90         0         0         1         0         0         0         1
 74    130         0         0         1         0         0         0         1
 74    132         0         0         1         1         0         0         2
 74    134         0         1         1         1         0         0         3
 74    136         0         1         1         1         0         0         3
 74    138         0         0         1         0         0         0         1
 74    140         0         0         1         0         0         0         1
 76     88         0         0         1         0         0         0         1
 76     90         0         1         1         0         0         0         2
 76     92         0         0         1         0         0         0         1
 76    130         0         0         1         0         0         0         1
 76    132         0         1         1         0         0         0         2
 76    134         0         1         1         1         0         0         3
 76    136         0         1         1         1         0         1         4
 76    138         0         1         1         1         0         0         3
 76    140         0         0         1         0         0         0         1
 76    174         0         1         0         0         0         0         1
 78     90         0         1         1         0         0         0         2
 78     92         0         1         1         0         0         0         2
 78    110         0         1         0         0         0         0         1
 78    112         0         1         0         0         0         0         1
 78    114         0         1         0         0         0         0         1
 78    130         0         0         1         0         0         0         1
 78    132         0         1         1         0         0         0         2
 78    134         0         1         1         1         0         1         4
 78    136         0         1         1         1         0         1         4
 78    138         0         1         1         1         0         1         4
 78    140         0         0         1         1         0         0         2
 78    142         0         0         1         0         0         0         1
 78    164         0         1         0         0         0         0         1
 78    166         0         1         0         0         0         0         1
