LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
HE         2.000000      2.000000     4.000000        24.967169      25.229479        50.196647         -1.903317            1.377795         -0.585796          -5.799492          -5.915495        -21.281053      -4.326942      -4.411444        -30.019440       -10.634855        -11.580629           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.880323          5.956823        1.946557        1.938885          1.942725           2.104539   
HE         2.000000      4.000000     6.000000        24.969503      52.174727        77.144230         -4.653504            1.386896         -0.590021          -3.464654          -5.362470        -30.094007      -3.806637      -3.287710        -37.188354       -18.274497         -4.959960           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.416633          3.842049        1.948010        2.356068          2.228366           2.105883   
HE         2.000000      6.000000     8.000000        24.280823      77.127202       101.408025         -5.813100            1.362713         -0.580082          -2.617122          -5.304261        -32.878535      -3.448935      -3.401191        -39.728661       -23.621757         -2.009386           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.134650          3.396794        1.989936        2.663626          2.512198           2.144725   
HE         2.000000      8.000000    10.000000        23.304531      95.680803       118.985333         -4.802695            1.329981         -0.566511          -2.144655          -4.571199        -31.771358      -3.175044      -2.679694        -37.626096       -26.842985          0.067867           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.874723          2.596925        2.042973        3.033899          2.863282           2.194023   
HE         2.000000     10.000000    12.000000        22.611575     112.219699       134.831274         -4.138144            1.300502         -0.554267          -2.025056          -4.291992        -27.718008      -3.060243      -1.912083        -32.690333       -28.695914          1.282501           0.000000             0.000001              0.000001              0.000000            0.000001              0.000001             4.726590          1.887353        2.089785        3.473091          3.283266           2.237677   
HE         2.000000     12.000000    14.000000        22.038242     132.314439       154.352681         -5.177239            1.279607         -0.545604          -1.893286          -5.061559        -22.640696      -2.943697      -1.844802        -27.429195       -30.303262          1.736683           0.000000             0.000000              0.000000              0.000000            0.000001              0.000001             4.601604          1.727399        2.125090        3.764528          3.576632           2.270684   
HE         2.000000     14.000000    16.000000        21.371537     153.013519       174.385056         -6.216192            1.259471         -0.537259          -1.706606          -5.628086        -17.551263      -2.798643      -1.912211        -22.262117       -31.840686          2.017448           0.000000             0.000000              0.000000              0.000000            0.000001              0.000001             4.449010          1.680407        2.160582        3.949791          3.772831           2.303935   
HE         2.000000     16.000000    18.000000        20.773808     170.637364       191.411171         -6.557138            1.240849         -0.529515          -1.575635          -5.580550        -12.199050      -2.688082      -1.808776        -16.695909       -32.890286          2.265535          -0.000001             0.000000              0.000000              0.000000           -0.000001             -0.000001             4.319327          1.548524        2.193931        4.148395          3.978927           2.335238   
HE         2.000000     18.000000    20.000000        20.320463     184.716422       205.036885         -6.225541            1.226485         -0.523514          -1.487276          -5.346615         -6.568083      -2.614857      -1.635819        -10.818758       -33.383660          2.448510           0.000000             0.000000              0.000000              0.000000           -0.000001             -0.000001             4.224341          1.378137        2.220252        4.386539          4.220249           2.359983   
HE         2.000000     20.000000    22.000000        20.119774     196.261171       216.380945         -5.672729            1.217606         -0.519812          -1.494342          -4.729350         -0.874901      -2.605964      -1.475449         -4.956314       -33.566378          2.559877          -0.000001             0.000000              0.000000              0.000000           -0.000001             -0.000001             4.192955          1.204273        2.236146        4.638998          4.474202           2.374942   
