LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
HE         2.000000      2.000000     4.000000        25.337042      25.538599        50.875641         -1.491750            1.346426         -0.572660          -7.771662          -7.862966        -20.619338      -5.012397      -5.078354        -30.710089       -10.603724        -11.518599           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             6.724404          6.790194        1.973112        1.965921          1.969520           2.129125   
HE         2.000000      4.000000     6.000000        25.849402      50.385859        76.235261         -3.608684            1.360972         -0.579488          -5.283798          -6.555887        -28.035918      -4.495076      -3.617335        -36.148329       -19.093179         -3.948087           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             6.193100          4.257506        1.966304        2.406247          2.269097           2.122817   
HE         2.000000      6.000000     8.000000        25.349583      73.903635        99.253218         -4.416368            1.338951         -0.570366          -4.373423          -6.226283        -28.504580      -4.168203      -3.877945        -36.550727       -24.889724         -1.054554           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.845073          3.688612        2.004774        2.726587          2.565246           2.158499   
HE         2.000000      8.000000    10.000000        24.635323      92.624676       117.259999         -3.892371            1.313386         -0.559773          -3.820706          -5.008374        -25.925586      -3.921515      -3.133127        -32.980228       -28.646855          0.917063           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.547807          2.832768        2.046699        3.090116          2.911503           2.197494   
HE         2.000000     10.000000    12.000000        24.053058     107.552415       131.605473         -3.124012            1.288125         -0.549324          -3.642182          -4.192531        -20.184117      -3.784474      -1.991529        -25.960120       -30.593330          2.483333           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.368283          1.903061        2.088040        3.596373          3.391888           2.236048   
HE         2.000000     12.000000    14.000000        23.414404     124.251065       147.665469         -3.651914            1.268645         -0.541247          -3.364969          -5.589205        -12.550829      -3.632335      -1.725469        -17.908634       -31.764238          3.183086           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.185123          1.674443        2.122260        3.962659          3.755377           2.268036   
HE         2.000000     14.000000    16.000000        22.762772     141.413921       164.176692         -4.214450            1.250785         -0.533830          -3.091082          -6.568737         -4.408771      -3.486690      -1.649969         -9.545431       -32.914140          3.529363           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.007201          1.576433        2.154176        4.221268          4.021415           2.297928   
HE         2.000000     16.000000    18.000000        22.247253     157.059460       179.306713         -4.492270            1.235945         -0.527666          -2.900737          -7.101154          3.757597      -3.389182      -1.578649         -1.210235       -33.785069          3.709208          -0.000001             0.000000              0.000000              0.000000           -0.000002             -0.000002             4.874950          1.476866        2.180718        4.467178          4.273965           2.322828   
HE         2.000000     18.000000    20.000000        22.041389     170.841448       192.882837         -4.493839            1.225247         -0.523257          -2.926096          -7.288519         11.840184      -3.365949      -1.530970          6.943265       -34.363205          3.821669           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.828227          1.383004        2.199009        4.716813          4.528472           2.340009   
HE         2.000000     20.000000    22.000000        21.961892     183.430204       205.392095         -4.335048            1.219079         -0.520745          -2.963640          -7.217595         19.734487      -3.368287      -1.528754         14.837446       -34.746937          3.914127          -0.000001             0.000000              0.000000              0.000000           -0.000002             -0.000002             4.818438          1.304629        2.209469        4.957787          4.773776           2.349841   
HE         2.000000     22.000000    24.000000        21.821940     195.257553       217.079493         -4.116579            1.216743         -0.519850          -2.837852          -6.309346         27.446548      -3.324156      -1.522960         22.599432       -35.098917          4.035972          -0.000001             0.000000              0.000000              0.000000           -0.000001             -0.000001             4.777307          1.207731        2.214511        5.175016          4.995771           2.354583   
HE         2.000000     24.000000    26.000000        21.762470     207.615249       229.377719         -3.763155            1.214908         -0.519193          -2.762931          -5.707145         35.157853      -3.315834      -1.603715         30.238305       -35.498148          4.294065          -0.000001             0.000000              0.000000              0.000000           -0.000001             -0.000001             4.756878          1.187543        2.217361        5.368149          5.194087           2.357263   
HE         2.000000     26.000000    28.000000        21.744038     220.915111       242.659149         -3.409294            1.212399         -0.518269          -2.764449          -5.738238         43.448399      -3.305679      -1.483928         38.658791       -35.831182          4.705088          -0.000001             0.000000              0.000000              0.000000            0.000000              0.000000             4.744657          1.143522        2.221374        5.541218          5.372554           2.361038   
BE         4.000000      2.000000     6.000000        49.041403      25.886334        74.927737         -3.413698            4.578149         -1.227089          -6.457131          -5.350747        -25.380464      -3.560758      -4.525278        -33.466501        -2.242543        -19.789301           0.000001             0.000000              0.000001              0.000000            0.000000              0.000000             4.158663          6.224438        2.444358        1.966344          2.296104           2.571942   
BE         4.000000      4.000000     8.000000        55.569919      56.411544       111.981463         -7.960540            4.804692         -1.291966          -4.938632          -5.225465        -49.232767      -3.073652      -3.163625        -55.470044        -9.221976        -11.030109           0.000001             0.000001              0.000001              0.000000            0.000000              0.000001             3.803356          3.910063        2.309448        2.293079          2.301278           2.444085   
BE         4.000000      6.000000    10.000000        57.100646      86.345954       143.446599         -9.767012            4.790914         -1.290375          -4.663118          -5.115758        -63.588261      -2.821462      -3.579986        -69.989710       -15.278862         -6.739152           0.000001             0.000000              0.000001              0.000000            0.000000              0.000000             3.567707          3.816581        2.305827        2.504738          2.427130           2.440663   
BE         4.000000      8.000000    12.000000        56.338992     113.130459       169.469451         -8.014720            4.708659         -1.269898          -4.253224          -4.941041        -70.374095      -2.574661      -3.198224        -76.146979       -20.086675         -2.892971           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.293949          3.326583        2.341708        2.720202          2.600166           2.474590   
BE         4.000000     10.000000    14.000000        55.242029     140.767969       196.009998         -8.318310            4.621293         -1.247738          -4.187368          -5.480991        -69.958805      -2.469668      -2.093425        -74.521898       -23.666844         -0.288103           0.000002             0.000002              0.000002              0.000001            0.000002              0.000003             3.166909          2.353383        2.382739        3.012143          2.846549           2.513453   
BE         4.000000     12.000000    16.000000        54.216773     169.127094       223.343867        -10.806497            4.550838         -1.229849          -4.070030          -6.360170        -67.051326      -2.378487      -2.249489        -71.679303       -26.581518          0.490106          -0.000003            -0.000002             -0.000002             -0.000001           -0.000004             -0.000005             3.052649          2.227884        2.417447        3.273417          3.081794           2.546380   
BE         4.000000     14.000000    18.000000        53.150342     196.646590       249.796931        -13.044661            4.489402         -1.214233          -3.758783          -6.537037        -64.033457      -2.234306      -2.640254        -68.908016       -29.240658          1.120098          -0.000007            -0.000003             -0.000004             -0.000002           -0.000007             -0.000009             2.881401          2.256923        2.449249        3.449249          3.253697           2.576591   
BE         4.000000     16.000000    20.000000        52.090555     220.461153       272.551708        -13.853374            4.431315         -1.199268          -3.528709          -6.206926        -59.860181      -2.120433      -2.676013        -64.656628       -31.344291          1.854010          -0.000008            -0.000002             -0.000003             -0.000002           -0.000005             -0.000008             2.744399          2.140194        2.480607        3.619273          3.421986           2.606417   
BE         4.000000     18.000000    22.000000        51.188866     239.243403       290.432269        -13.396481            4.378959         -1.185608          -3.492993          -4.657778        -54.196241      -2.076010      -1.914222        -58.186473       -32.851291          2.597609           0.000001             0.000000              0.000000              0.000000            0.000001              0.000001             2.679843          1.601640        2.509236        3.845171          3.638938           2.633679   
BE         4.000000     20.000000    24.000000        50.288569     253.402421       303.690990        -11.466903            4.331231         -1.172885          -3.467889          -4.884915        -47.193394      -2.040845      -1.657110        -50.891348       -33.588891          3.013052          -0.000004            -0.000001             -0.000001             -0.000001           -0.000003             -0.000005             2.633618          1.379254        2.537284        4.120753          3.901727           2.660415   
