LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
HE         2.000000      2.000000     4.000000        24.967169      25.229479        50.196647         -1.903317            1.377795         -0.585796          -5.799492          -5.915495        -21.281053      -4.326942      -4.411444        -30.019440       -10.634855        -11.580629           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.880323          5.956823        1.946557        1.938885          1.942725           2.104539   
HE         2.000000      4.000000     6.000000        24.969503      52.174727        77.144230         -4.653504            1.386896         -0.590021          -3.464654          -5.362470        -30.094007      -3.806637      -3.287710        -37.188354       -18.274497         -4.959960           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.416633          3.842049        1.948010        2.356068          2.228366           2.105883   
HE         2.000000      6.000000     8.000000        24.280823      77.127202       101.408025         -5.813100            1.362713         -0.580082          -2.617122          -5.304261        -32.878535      -3.448935      -3.401191        -39.728661       -23.621757         -2.009386           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.134650          3.396794        1.989936        2.663626          2.512198           2.144725   
BE         4.000000      2.000000     6.000000        50.770407      25.040823        75.811229         -4.437370            4.682452         -1.255886          -5.190410          -3.530454        -27.389996      -3.186016      -3.837879        -34.413891        -3.189574        -19.024576           0.000001             0.000000              0.000001              0.000000            0.000000              0.000000             3.724175          5.446302        2.391576        1.947485          2.253291           2.521831   
BE         4.000000      4.000000     8.000000        56.631449      57.559490       114.190939         -9.905108            4.872787         -1.310176          -3.753128          -4.030148        -50.719848      -2.654100      -2.758001        -56.131949        -9.556838        -11.390273           0.000001             0.000001              0.000001              0.000000            0.000000              0.000000             3.253220          3.384190        2.281393        2.264815          2.273119           2.417593   
BE         4.000000      6.000000    10.000000        57.847815      88.416221       146.264036        -12.506481            4.856578         -1.307917          -3.184967          -4.080177        -65.997430      -2.301144      -3.129176        -71.427749       -15.063896         -7.057861           0.000001             0.000000              0.000001              0.000000            0.000000              0.000000             2.905741          3.457215        2.280158        2.475574          2.399318           2.416428   
BE         4.000000      8.000000    12.000000        56.648787     114.642084       171.290872        -10.121652            4.756285         -1.282674          -2.834881          -4.367667        -72.833734      -2.049944      -2.521108        -77.404787       -19.324078         -3.326000           0.000001             0.000000              0.000000              0.000000            0.000000              0.000000             2.638051          2.777292        2.324024        2.722640          2.596576           2.457862   
BE         4.000000     10.000000    14.000000        55.364339     144.140046       199.504386        -10.655881            4.665105         -1.259454          -2.654425          -5.159849        -74.132756      -1.917105      -1.929296        -77.979158       -22.657292         -1.516174           0.000001             0.000001              0.000001              0.000000            0.000001              0.000001             2.474336          2.199719        2.366494        2.964496          2.806670           2.498058   
BE         4.000000     12.000000    16.000000        54.412896     175.756228       230.169123        -13.758295            4.598904         -1.242564          -2.523247          -6.261497        -74.099563      -1.819339      -2.129364        -78.048266       -25.485208         -0.914619           0.000003             0.000002              0.000002              0.000001            0.000003              0.000004             2.356055          2.165283        2.398911        3.175051          2.999901           2.528789   
BE         4.000000     14.000000    18.000000        53.467037     204.215800       257.682836        -16.537939            4.540452         -1.227601          -2.337828          -5.518500        -73.970459      -1.697866      -2.419877        -78.088202       -28.006221         -0.271979          -0.000005            -0.000002             -0.000002             -0.000002           -0.000004             -0.000005             2.218031          2.114237        2.428770        3.347727          3.166646           2.557132   
