LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
HE         2.000000      2.000000     4.000000        25.337042      25.538599        50.875641         -1.491750            1.346426         -0.572660          -7.771662          -7.862966        -20.619338      -5.012397      -5.078354        -30.710089       -10.603724        -11.518599           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             6.724404          6.790194        1.973112        1.965921          1.969520           2.129125   
HE         2.000000      4.000000     6.000000        25.849402      50.385859        76.235261         -3.608684            1.360972         -0.579488          -5.283798          -6.555887        -28.035918      -4.495076      -3.617335        -36.148329       -19.093179         -3.948087           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             6.193100          4.257506        1.966304        2.406247          2.269097           2.122817   
HE         2.000000      6.000000     8.000000        25.349583      73.903635        99.253218         -4.416368            1.338951         -0.570366          -4.373423          -6.226283        -28.504580      -4.168203      -3.877945        -36.550727       -24.889724         -1.054554           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.845073          3.688612        2.004774        2.726587          2.565246           2.158499   
BE         4.000000      2.000000     6.000000        49.041403      25.886334        74.927737         -3.413698            4.578149         -1.227089          -6.457131          -5.350747        -25.380464      -3.560758      -4.525278        -33.466501        -2.242543        -19.789301           0.000001             0.000000              0.000001              0.000000            0.000000              0.000000             4.158663          6.224438        2.444358        1.966344          2.296104           2.571942   
BE         4.000000      4.000000     8.000000        55.569919      56.411544       111.981463         -7.960540            4.804692         -1.291966          -4.938632          -5.225465        -49.232767      -3.073652      -3.163625        -55.470044        -9.221976        -11.030109           0.000001             0.000001              0.000001              0.000000            0.000000              0.000001             3.803356          3.910063        2.309448        2.293079          2.301278           2.444085   
BE         4.000000      6.000000    10.000000        57.100646      86.345954       143.446599         -9.767012            4.790914         -1.290375          -4.663118          -5.115758        -63.588261      -2.821462      -3.579986        -69.989710       -15.278862         -6.739152           0.000001             0.000000              0.000001              0.000000            0.000000              0.000000             3.567707          3.816581        2.305827        2.504738          2.427130           2.440663   
BE         4.000000      8.000000    12.000000        56.338992     113.130459       169.469451         -8.014720            4.708659         -1.269898          -4.253224          -4.941041        -70.374095      -2.574661      -3.198224        -76.146979       -20.086675         -2.892971           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.293949          3.326583        2.341708        2.720202          2.600166           2.474590   
 C         6.000000      4.000000    10.000000        84.194098      57.452469       141.646567         -9.449774            9.826492         -2.020786          -5.062692          -4.742783        -59.170887      -3.539423      -2.858913        -65.569223        -4.187676        -16.969521           0.000001             0.000001              0.000001              0.000000            0.000000              0.000001             3.735765          3.614017        2.539819        2.298669          2.446213           2.662833   
 C         6.000000      6.000000    12.000000        87.703386      89.266821       176.970208        -11.959385            9.949917         -2.051522          -4.255591          -4.568040        -86.096124      -3.198113      -3.318848        -92.613085        -9.561430        -12.151292           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.550063          3.671622        2.494938        2.474476          2.484728           2.620060   
 C         6.000000      8.000000    14.000000        87.559640     119.144186       206.703826         -9.702468            9.849821         -2.034992          -4.152742          -4.712288       -103.269589      -3.037928      -2.983164       -109.290681       -14.371337         -7.278425           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.411272          3.340608        2.512433        2.645371          2.589234           2.636726   
 C         6.000000     10.000000    16.000000        86.378467     154.936151       241.314618        -11.564632            9.728906         -2.012939          -3.785523          -5.675598       -110.854724      -2.856696      -2.059486       -115.770905       -18.513233         -3.893183           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.225135          2.486898        2.539545        2.829693          2.724511           2.662572   
 C         6.000000     12.000000    18.000000        85.166734     191.305479       276.472213        -15.714219            9.619072         -1.992547          -3.547557          -6.440656       -114.893776      -2.717237      -2.241695       -119.852708       -22.055863         -2.718223          -0.000006            -0.000007             -0.000007             -0.000003           -0.000010             -0.000013             3.083519          2.395288        2.565722        2.994830          2.858959           2.687551   
 C         6.000000     14.000000    20.000000        83.798175     223.865206       307.663381        -19.047872            9.514483         -1.973044          -3.182599          -5.668246       -118.147943      -2.549955      -2.558450       -123.256348       -25.159919         -1.753729          -0.000005            -0.000004             -0.000004             -0.000002           -0.000007             -0.000009             2.917749          2.347585        2.591778        3.150970          2.994198           2.712436   
 C         6.000000     16.000000    22.000000        82.096735     252.180446       334.277181        -19.309491            9.393029         -1.949737          -2.933397          -5.186866       -119.328032      -2.411497      -2.772456       -124.511986       -27.776111         -0.309601          -0.000002            -0.000001             -0.000001             -0.000001           -0.000002             -0.000003             2.773705          2.396417        2.623489        3.303476          3.132697           2.742753   
 O         8.000000      4.000000    12.000000       108.064034      56.508746       164.572781         -7.611505           15.938073         -2.706605          -4.396683          -4.453453        -60.377029      -3.053371      -2.657275        -66.087675         0.177042        -21.516938           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.125690          3.378424        2.788847        2.339147          2.647448           2.901321   
 O         8.000000      6.000000    14.000000       115.765499      88.468698       204.234196         -9.479721           16.427144         -2.801743          -4.206655          -4.241425        -97.365919      -2.876042      -3.088153       -103.330114        -3.987086        -16.906346           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.208246          3.462018        2.682057        2.499289          2.605298           2.798826   
 O         8.000000      8.000000    16.000000       116.862354     119.154009       236.016364         -7.169165           16.414802         -2.807733          -3.916347          -4.183421       -124.328930      -2.707132      -2.803367       -129.839429        -8.246200        -11.563885           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.146336          3.242421        2.670310        2.645404          2.657886           2.787572   
 O         8.000000     10.000000    18.000000       116.321593     158.081699       274.403293         -9.944534           16.314201         -2.795711          -3.554934          -5.324334       -140.220896      -2.592223      -1.921272       -144.734392       -12.130547         -7.623618           0.000000            -0.000001             -0.000001              0.000000           -0.000001             -0.000001             3.078087          2.399863        2.679168        2.801643          2.747884           2.796058   
 O         8.000000     12.000000    20.000000       115.347660     198.320800       313.668460        -15.070901           16.201210         -2.780099          -3.239548          -6.038657       -151.813668      -2.483640      -2.191322       -156.488630       -15.611185         -6.081127          -0.000001            -0.000001             -0.000001              0.000000           -0.000002             -0.000002             3.008970          2.387001        2.693282        2.931356          2.838524           2.809585   
 O         8.000000     14.000000    22.000000       113.840311     234.377026       348.217337        -18.893404           16.071045         -2.761268          -2.829812          -5.163299       -161.698725      -2.345635      -2.438950       -166.483309       -18.692163         -4.727177          -0.000001            -0.000001             -0.000001             -0.000001           -0.000002             -0.000002             2.913306          2.351428        2.712077        3.053482          2.933935           2.827607   
 O         8.000000     16.000000    24.000000       111.835472     265.424539       377.260011        -19.038665           15.896951         -2.734611          -2.616307          -4.253635       -168.560533      -2.269623      -2.473561       -173.303716       -21.397512         -2.807580          -0.000001            -0.000001             -0.000001              0.000000           -0.000001             -0.000001             2.851388          2.340810        2.739231        3.189218          3.046616           2.853662   
 O         8.000000     18.000000    26.000000       109.008747     291.400067       400.408813        -13.674462           15.656637         -2.695740          -2.537131          -3.994697       -170.812596      -2.238721      -2.247105       -175.298423       -23.802252         -1.019064          -0.000001             0.000000              0.000000              0.000000           -0.000001             -0.000001             2.820853          2.029581        2.779005        3.325269          3.167238           2.891862   
NE        10.000000      8.000000    18.000000       153.787312     118.033090       271.820402         -9.696736           24.200264         -3.571357          -5.008327          -3.845750       -132.941947      -1.846510      -2.698266       -137.486724        -3.663130        -15.409110          -0.000001             0.000000             -0.000001             -0.000001            0.000000             -0.000001             2.302606          3.178142        2.842184        2.661386          2.763290           2.952628   
