     Interaction      Z      N          UNEDF0_MOI          UNEDF1_MOI            SKMS_MOI             SKP_MOI            SLY4_MOI          SV-MIN_MOI
             N-N      2      4      0.883776731484                 N/A      0.864190889397      0.769617650103       0.79430609618       1.57161598663    
             N-N      4      4      0.432868248865      0.544531811548      0.622833900476       0.47737926422       0.53448232781      0.630483532007    
             N-N      4      6      0.448605358838      0.458611777563      0.429241566637      0.474789508006      0.478331751052      0.530410558989    
             N-N      4      8                 N/A                 N/A      0.740375077716                 N/A                 N/A                 N/A    
             N-N      4     10                 N/A                 N/A       7.91666914063                 N/A                 N/A                 N/A    
             N-N      4     12                 N/A                 N/A       137.117784177                 N/A                 N/A                 N/A    
             N-N      6      6      0.322259736836       0.32407780622      0.334003511379      0.380558484799      0.385867003606      0.377198679314    
             N-N      6      8      0.487153162172      0.355006478868      0.555253559314      0.459267190974      0.392257926846      0.386078473538    
             N-N      6     10       1.77472525035       2.87072961028       2.29384629853       1.67492825026       1.66776391634       2.63986848175    
             N-N      6     12       4.32600328127       6.87830050951       6.46021958286       3.21867863586          5.89828699       5.39948056997    
             N-N      6     14       2.17826365159       2.50358168655       1.60711695673       1.62593099793       1.86219565904       2.04244194359    
             N-N      8      6                 N/A      0.358683016395      0.346172136691      0.372620168141      0.372678075833                 N/A    
             N-N      8      8      0.421845301102      0.300567132608      0.441492381111      0.386319723225      0.344401478447      0.342204617316    
             N-N      8     10       1.23034637019        1.3695534571       1.83868736109       1.24394973945       1.27359128864        1.4222105917    
             N-N      8     12       1.99094617228       2.10754596294       2.36893426977       2.06769103527        2.2732968886       2.39056015606    
             N-N      8     14       1.30380306315       1.41851164793       1.10996969228       1.21638519513       1.26013145691       1.31798626197    
             N-N      8     16      0.839140535481      0.750623815305      0.630321191194      0.827553732547      0.828895289803      0.883305612259    
             N-N      8     18       2.05231241736                 N/A       2.35785661402                 N/A                 N/A       1.59973380429    
             N-N     10      8      0.383124037461                 N/A      0.385305860126      0.348043599074                 N/A                 N/A    
             N-N     10     10       1.09239206279      0.949472627298       2.39020874888       1.11249864414       1.49685025286       1.21619546694    
             N-N     10     12       1.47493277994      0.826227433147       1.10497634384       1.67709188912      0.938056824668      0.975431085672    
             N-N     10     14      0.890480077846       1.29506083224       1.04948643381       1.01375924739       1.29361713137       1.28546931199    
             N-N     10     16      0.714397721643      0.730575726548      0.597549509218      0.727266644679      0.761914630513      0.801272099585    
             N-N     10     18       1.84240186562       1.71537473219       2.03757699494       1.28985074492       1.43070215285       1.48337965804    
             N-N     10     20       1.23554718678       1.36875113777       4.91363065712       1.39773148181                 N/A       1.14444006696    
             N-N     10     22      -10.4782811428      -49.5601536365       6.64967674259      -9.17995465102                 N/A      -8.83698632256    
             N-N     10     24                 N/A                 N/A       2.55882580601                 N/A                 N/A                 N/A    
             N-N     10     26                 N/A                 N/A       3.54832013654                 N/A                 N/A                 N/A    
             N-N     12     10       1.12974595685      0.886924253121       1.53123176877       1.43365218953       1.07938877452      0.952759333945    
             N-N     12     12       1.10127671009      0.658622037559      0.826248595894      0.917371647666      0.697491975791      0.775620540061    
             N-N     12     14      0.733732777457      0.894237622186      0.979904606287       1.05016148858       1.17120464547       1.06035515005    
             N-N     12     16      0.658775307059       0.78909424409      0.593748687259      0.684049855606      0.771974246939      0.803084003189    
             N-N     12     18       1.60961843593        1.3599253129       1.86567077161       1.20632209282        1.2997622085       1.28886533129    
             N-N     12     20       1.14720636608        1.1254971532       6.62778366914       1.28695366806      0.876706948429       1.06329474637    
             N-N     12     22      -92.1765180322       54.5390090262       2.94387357829       42.0216621668        -3.723472585       -22.516056763    
             N-N     12     24       2.13791588477       1.99687887831       2.20986661245        1.8905235616       1.48955597826       1.88694732492    
             N-N     12     26       2.36773394247        2.5037321257       2.21412590184       2.18723496864       2.00087638386       2.16579249867    
             N-N     12     28        15.584213192       6.78626324594       3.84499665005       5.19133306944                 N/A        7.3607484409    
             N-N     12     30       13.1021245095       65.4107796964       22.6202122907       11.6763434363                 N/A       13.5378450458    
             N-N     12     32       5.16324236131       14.7640701589                 N/A                 N/A                 N/A                 N/A    
