     Interaction      Z      N          UNEDF0_MOI          UNEDF1_MOI            SKMS_MOI             SKP_MOI            SLY4_MOI          SV-MIN_MOI
             N-P      4      4     -0.220200209333     -0.223396306332     -0.274930263939     -0.243565308993     -0.241468568368     -0.237028089666    
             N-P      4      6     -0.297383840013                 N/A     -0.313590388078     -0.302091895751     -0.283340941038     -0.305893395693    
             N-P      6      6     -0.299374240478      -0.28694805989     -0.330325226657     -0.320358596599     -0.319381779078     -0.315941466472    
             N-P      6      8     -0.405458361555     -0.387632056551     -0.423185575974     -0.384618121321     -0.380216318371     -0.416779110197    
             N-P      6     10                 N/A                 N/A     -0.522816427781                 N/A                 N/A                 N/A    
             N-P      6     12                 N/A                 N/A     -0.623797630068                 N/A                 N/A                 N/A    
             N-P      6     14                 N/A                 N/A     -0.687009711226                 N/A                 N/A                 N/A    
             N-P      8      6                 N/A     -0.406512740617     -0.439566863999       -0.4014681288     -0.392211580106                 N/A    
             N-P      8      8     -0.414862877447     -0.362627698211     -0.420130820335     -0.410698405987     -0.406846452792     -0.411992016419    
             N-P      8     10     -0.477865223131     -0.444947630776     -0.521881104786      -0.49413730791     -0.475356395487     -0.477292738313    
             N-P      8     12     -0.542496901665     -0.536010814554     -0.553027604926     -0.550394536564     -0.521346873581     -0.564708141186    
             N-P      8     14      -0.63604532459     -0.650815724294     -0.648975276151     -0.608297019269      -0.60688458982     -0.650314614081    
             N-P      8     16     -0.790945727875     -0.812349829518      -0.79226903872     -0.695962997039     -0.718807914578     -0.788274262688    
             N-P     10      8     -0.477959552434                 N/A     -0.528402283226     -0.503821930185                 N/A                 N/A    
             N-P     10     10     -0.539769181204     -0.435661366084     -0.640122288962     -0.588181838768     -0.551832525451     -0.501217394399    
             N-P     10     12     -0.571428326531     -0.507019816109     -0.592524386452     -0.622987749569     -0.518334596126     -0.533038598524    
             N-P     10     14     -0.635212025834     -0.808751009422     -0.829993818621     -0.670003731921     -0.767393746662     -0.787922099718    
             N-P     10     16     -0.820832903251     -0.855231353979     -0.867372838263     -0.752893274743     -0.755484581976     -0.800020320516    
             N-P     10     18     -0.989913033665     -0.882833825955     -0.938176073133     -0.860897291725     -0.821290645931     -0.881784643941    
             N-P     10     20      -1.04747661574                 N/A      -1.00076758874                 N/A                 N/A      -0.92163222911    
             N-P     12     10     -0.585584576639     -0.523703748122     -0.579728376965     -0.641823806529     -0.514812904764     -0.535445917352    
             N-P     12     12     -0.575386325167     -0.544899515761     -0.671028238378     -0.568369686969     -0.593798663656      -0.60966111682    
             N-P     12     14     -0.663163945235     -0.654793192574     -0.843912123431     -0.790127982955     -0.759648821946     -0.726663386993    
             N-P     12     16     -0.788632027056      -0.84667319875     -0.895017170904     -0.769342767784     -0.809321931876     -0.825764683902    
             N-P     12     18     -0.869693213545     -0.779665694943     -0.903681757625     -0.824442748841     -0.798272378918     -0.823849113683    
             N-P     12     20     -0.933414633748     -0.884776056544     -0.942184719083     -0.862620745339     -0.845815276058     -0.899220331012    
             N-P     12     22     -0.991069964089       -1.0284613832     -0.897667276931     -0.911017089086                 N/A      -0.95657965379    
             N-P     12     24       -1.0817549852      -1.07087792982      -1.08143970987      -1.03632956938                 N/A      -1.02391533449    
             N-P     12     26                 N/A                 N/A      -1.15877339201                 N/A                 N/A                 N/A    
             N-P     12     28                 N/A                 N/A      -1.44266940004                 N/A                 N/A                 N/A    
             N-P     14     10     -0.679623345945     -0.860377137715     -0.905404062593     -0.691274064762     -0.815167661647                 N/A    
             N-P     14     12     -0.679593209097      -0.70175574023     -0.824383788575     -0.815883455944     -0.748266780303     -0.714177949934    
             N-P     14     14     -0.662818672861     -0.526963677448     -0.600454093408     -0.650591949217     -0.561391374839     -0.580877034286    
             N-P     14     16     -0.781036892863     -0.697929609262     -0.848851217815     -0.822310771387     -0.782564310646     -0.760943509076    
             N-P     14     18     -0.841731888613     -0.779569206159     -0.898620751939     -0.828236401031     -0.828360409674     -0.851195312297    
             N-P     14     20     -0.902698979679     -0.827485082513     -0.931505254272     -0.874928337901     -0.835781476575     -0.875962025294    
             N-P     14     22     -0.963286734338      -1.21893765926      -1.66025944874      -1.00359135165     -0.933835425514       -1.0401589779    
             N-P     14     24      -1.50244221983       -1.3530678276      -1.30406362526      -1.48131689072      -1.62323696175      -1.50760776569    
             N-P     14     26      -1.21872931017       -1.2441857644      -1.12808948457      -1.13938008039      -1.11773430785      -1.19363790994    
             N-P     14     28      -0.99035615931     -0.947153566744     -0.920241729097     -0.941518518728      -0.91337922455     -0.945547793659    
             N-P     14     30      -1.45512274142      -1.41207336851      -1.23308705502      -1.20718273729                 N/A      -1.32055476506    
             N-P     14     32      -1.45167061884      -1.80014032094      -1.67453208341      -1.44566016433                 N/A      -1.60906935853    
             N-P     14     34      -2.41211314982      -2.60795295253                 N/A                 N/A                 N/A                 N/A    
             N-P     16     12     -0.816383010988     -0.861565024251                 N/A     -0.799475544043     -0.872184995671                 N/A    
             N-P     16     14     -0.806255088225     -0.721019391636     -0.877018155811     -0.837399781564     -0.802001957286     -0.788282651357    
             N-P     16     16     -0.831137399064     -0.737998393377     -0.970889575146     -0.917330412553      -0.97345722848     -0.856846449475    
             N-P     16     18     -0.882829149606     -0.790712449708     -0.933654292557      -0.85830297623     -0.867443187351      -0.86590751112    
             N-P     16     20     -0.929054603326     -0.834050269044     -0.984723492105     -0.898363832411     -0.876563817243     -0.917155835553    
             N-P     16     22     -0.975874670368     -0.940400474244      -1.08567583728     -0.994669565797     -0.965797722359     -0.973923206155    
             N-P     16     24      -1.14963968855      -1.05893530938      -1.33105013866      -1.19998824012       -1.0655735303      -1.16153158393    
             N-P     16     26      -1.06636239793      -1.06509940839       -1.0382528696      -1.09623399772     -0.965825239718      -1.05660943542    
             N-P     16     28      -1.27413449636      -1.47276109937      -1.39475120254      -1.22304635162      -1.30857123976      -1.32637648865    
             N-P     16     30      -1.13964302392      -1.28094031266      -1.28798011874        -1.169666569      -1.22914864556      -1.29801646858    
             N-P     16     32      -1.67958900457      -1.49581526981      -1.63467338408      -1.43380584405      -1.52387454246      -1.44212950611    
             N-P     16     34      -2.43562342826      -2.61616081017      -2.15765092229      -1.71096278014                 N/A      -2.14126113857    
             N-P     18     14                 N/A                 N/A                 N/A     -0.890589320765                 N/A                 N/A    
             N-P     18     16     -0.933868782564     -0.824726113612     -0.947422099994     -0.881092395974      -0.88323266689     -0.883821840077    
             N-P     18     18     -0.836470795877     -0.750414557142      -0.80770127007     -0.829874141288     -0.808581148294     -0.832645880079    
             N-P     18     20     -0.869555765698     -0.772683624883     -0.864957064613     -0.861282859287     -0.838988289192     -0.850545720766    
             N-P     18     22     -0.944509812394     -0.889815483412      -1.02625546321     -0.973102947967      -0.93180470771     -0.941747058512    
             N-P     18     24     -0.962814653846      -1.18269119608      -1.06761442358      -1.03032504179      -1.15704348777      -1.07666616781    
             N-P     18     26      -1.12195826596      -1.04038163279      -1.18876345123      -1.13582702263      -1.11709782454      -1.14753679792    
             N-P     18     28      -1.12770656624      -1.07827697809      -1.09592373905      -1.18211868176      -1.00817656398      -1.11590080535    
