     Interaction      Z      N          UNEDF0_MOI          UNEDF1_MOI            SKMS_MOI             SKP_MOI            SLY4_MOI          SV-MIN_MOI
             P-P      4      4      0.333914204919      0.419788934322      0.492212823965      0.395209429381      0.433720182822      0.495575808913    
             P-P      4      6      0.331439927507                 N/A      0.455955756789      0.367775104053      0.369835889023      0.471292568176    
             P-P      6      4                 N/A       0.41585609383      0.385932155443      0.427835032801      0.417504851145                 N/A    
             P-P      6      6      0.299119340316      0.291572242818      0.299089414799      0.336927933221      0.335955296444      0.330670444246    
             P-P      6      8      0.294199265723      0.307522129677      0.300634315859      0.319172857157      0.317587503694      0.333747179836    
             P-P      6     10                 N/A                 N/A      0.300944461527                 N/A                 N/A                 N/A    
             P-P      6     12                 N/A                 N/A      0.320746363959                 N/A                 N/A                 N/A    
             P-P      6     14                 N/A                 N/A      0.329769514193                 N/A                 N/A                 N/A    
             P-P      8      6      0.451851903731                 N/A      0.470875580192      0.396827955736                 N/A                 N/A    
             P-P      8      8      0.395050452387      0.280247556679      0.382933899769      0.336696680651      0.310042597528      0.303654036025    
             P-P      8     10       0.36083904098      0.284061171437      0.337227126348      0.303618517906      0.284340999925      0.294704499062    
             P-P      8     12      0.349083211489      0.292937882815      0.324055174606      0.285280882922      0.285245098277      0.304134495573    
             P-P      8     14      0.349334726946      0.269269479308      0.292230461417      0.273468970296      0.259712956151      0.281169363702    
             P-P      8     16      0.343805830844       0.26486738719      0.283186041194      0.265578115089      0.255235958305      0.279704553674    
             P-P     10      8      0.788907954164      0.910666776554       1.11226075619      0.927194164425      0.896852943023       1.01064921073    
             P-P     10     10       0.70795282344      0.673863188589       1.35809502727      0.819257633791       1.01553695374      0.895252743278    
             P-P     10     12      0.701970395802      0.616869087117       1.07092810378       0.93776345292       0.81308481125      0.739216175824    
             P-P     10     14      0.670728486593      0.751673836695       1.04861345775      0.773228808263      0.821964029621       0.80270205566    
             P-P     10     16      0.693879462729      0.758411590349        1.0108668183      0.756614513228      0.766489243569      0.778354430306    
             P-P     10     18      0.768325622545      0.855680682217        1.0542254013      0.787206167918      0.787686723599      0.829867943114    
             P-P     10     20      0.843973376016                 N/A       1.12811589135                 N/A                 N/A      0.848919495266    
             P-P     12      8       1.20062432465       1.34847172642       1.48875321385       1.27643781945       1.40750856557                 N/A    
             P-P     12     10      0.935285711079      0.671692832181      0.773892279612       1.11746077154      0.701170323387      0.717064724234    
             P-P     12     12      0.748678815852      0.526598697695      0.637189230865      0.699966891566      0.563749418457      0.611763539933    
             P-P     12     14      0.749119363368      0.654229758949      0.918321079486      0.864158590385      0.763972872851      0.775652726313    
             P-P     12     16      0.756103646688      0.783208633465      0.972594239519      0.805853396733       0.78945353237       0.84311522645    
             P-P     12     18      0.778589413987      0.783306025327      0.978525523493      0.802261575381      0.762078806188      0.816277553959    
             P-P     12     20      0.801333258275      0.834453761352      0.990317173833      0.791901382937      0.770412166657       0.83643791205    
             P-P     12     22      0.820466874368      0.740560537677      0.657263202035      0.733118346378                 N/A      0.781527350624    
             P-P     12     24      0.676746123429      0.647215468709      0.595479122502       0.60462955783      0.559136592457      0.627791120083    
             P-P     12     26                 N/A                 N/A      0.603920531305                 N/A                 N/A                 N/A    
             P-P     12     28                 N/A                 N/A      0.792182426938                 N/A                 N/A                 N/A    
             P-P     12     32                 N/A                 N/A       1.17096807151                 N/A                 N/A                 N/A    
             P-P     14     10      0.737175405543      0.937400401207                 N/A      0.798234305716        1.0398666683                 N/A    
             P-P     14     12      0.623798213754      0.751259063236       0.77763566486      0.814590787263      0.868404010203      0.824562734382    
             P-P     14     14      0.534334034112      0.542936062492      0.552142014239      0.636740195833      0.593138631623      0.600341624401    
             P-P     14     16       0.51317124563       0.52093365376      0.510410394201      0.589461113177      0.516387492527        0.5516310074    
             P-P     14     18      0.499008968189       0.51607369584      0.499759116106      0.575122583784      0.502280100516      0.545623167814    
             P-P     14     20      0.491304403365       0.51355258862       0.48567696144      0.565426728259      0.488618188983      0.530773870958    
             P-P     14     22      0.488093269743      0.586775259208      0.574642629749      0.568298626152      0.480301225717      0.549855992716    
             P-P     14     24      0.542142351401      0.667135217968       0.56955416866      0.624464619162      0.568305166235      0.616892395305    
             P-P     14     26      0.578940489694      0.733242386836      0.595572307019      0.638232148009       0.61770299728      0.661209593688    
             P-P     14     28       0.51224666521      0.574513297469      0.488101429429      0.552086154149      0.512940396198      0.550650483416    
             P-P     14     30      0.567554927966      0.599482376942      0.480003590427      0.560305074907                 N/A      0.554666471424    
             P-P     14     32      0.538961020587      0.643051149092      0.483382167017      0.562106279683                 N/A      0.577719607832    
             P-P     14     34      0.537801098029      0.642554075343                 N/A                 N/A                 N/A                 N/A    
             P-P     16     12                 N/A                 N/A                 N/A      0.622335916079                 N/A                 N/A    
             P-P     16     14      0.567189076165      0.626180546011      0.513520019257      0.595887186638      0.627504527445      0.616062568547    
             P-P     16     16      0.527582890856      0.574885687574      0.520337048323       0.61224427322       0.67173783953       0.60283371028    
             P-P     16     18      0.545655024071      0.598242930601      0.569862264291      0.627579843453      0.711867905791      0.620078418217    
             P-P     16     20      0.568501519534      0.634381108892      0.619503167752      0.647040316273      0.738737121503      0.654745604324    
             P-P     16     22      0.579716278158      0.659679451859       0.64067008966      0.656505170224      0.759942662326      0.670138205953    
             P-P     16     24      0.642591752463      0.619308842043      0.727016553076      0.721505276458      0.719383703981      0.702065388615    
             P-P     16     26      0.623960034112      0.627984101954      0.667810514777      0.705323321974      0.653472618844      0.666951010114    
             P-P     16     28      0.666330058932      0.744054123985      0.768089122917      0.719693050914       0.76770215613      0.736834290942    
             P-P     16     30      0.628081722225      0.791220459537      0.729464968448      0.708489134522      0.724211813126      0.784896087607    
             P-P     16     32      0.621334418183      0.765925506085      0.717148545668      0.693996720171       0.79338412843      0.717400256255    
             P-P     16     34      0.652966451073      0.809181294642      0.748855982077      0.714975026816                 N/A       0.75254581546    
             P-P     18     14                 N/A      0.906914520359                 N/A      0.894934869996      0.985303702624                 N/A    
             P-P     18     16      0.929863856308      0.837628973921        1.1314844312      0.850803158181      0.978323290845      0.912625049595    
             P-P     18     18      0.887879665669      0.794413998528       1.03234944409      0.819665412579      0.928639401659      0.879500514068    
             P-P     18     20      0.872509177161       0.77064623889        1.0079194753      0.815766648319      0.895216277539      0.851582751702    
             P-P     18     22      0.851088457028      0.769143501026      0.992437871528        0.7936500063       0.86958393235      0.827844551489    
             P-P     18     24      0.823496665662      0.918576674628      0.984449149018      0.794995819316      0.971935602463      0.877099117463    
             P-P     18     26      0.887069410964      0.953859207043       1.07034408351      0.821549067737       1.05756595907      0.946730548888    
             P-P     18     28      0.875280801022      0.944952947249       1.04059815663      0.835638826036      0.984148080825      0.922170429545    
             P-P     18     30      0.816719889579      0.837889532225      0.966356305233      0.794825684792      0.958953436577      0.810879406826    
             P-P     18     32      0.819676666244      0.817296778645      0.961517197216      0.803405475128      0.864937613131      0.823218380491    
             P-P     18     34       0.87280579351      0.884596433838       1.01640993846      0.834502157918      0.895894986773      0.877545925269    
             P-P     18     36      0.893125878054                 N/A       1.04473203015      0.854832184688                 N/A      0.891493039111    
             P-P     18     38      0.908384227452                 N/A                 N/A                 N/A                 N/A                 N/A    
             P-P     18     42                 N/A                 N/A       2.46272814867                 N/A                 N/A                 N/A    
             P-P     20     18      0.870207279023      0.576841653505      0.813925616152      0.660500890851      0.553999509433      0.610218133151    
             P-P     20     20      0.814917720814      0.535860451221      0.719103579859      0.598213226823      0.524148092278      0.577250888822    
             P-P     20     22      0.772274868844      0.506839225149      0.655562100251      0.561280381581      0.498603411843      0.553391946764    
             P-P     20     24      0.739582198922      0.497922728617       0.61110257265      0.528044719051       0.48439567764      0.540435885862    
             P-P     20     26      0.712351172031      0.478682130652      0.568997246196      0.509716600119      0.464976461729      0.525913742258    
             P-P     20     28      0.702044934035      0.472337607083      0.535002899047      0.493124245366      0.450242821582      0.515795661875    
             P-P     20     30      0.683985405119      0.456854490588       0.51938203925      0.476766569128      0.447113413447      0.508943796573    
             P-P     20     32      0.694899265665      0.453868931957      0.517219531244      0.467851414601      0.447771937215      0.512989996823    
             P-P     20     34      0.704733306013       0.46312961458      0.514139346159       0.46091939361       0.45281482715      0.516746060393    
             P-P     20     36      0.682484612531      0.453139537637      0.489394335358      0.449177426993      0.441364845753      0.507293420924    
             P-P     20     38      0.664344340301      0.447237692298      0.465475452919      0.438436404252       0.42652567434      0.494764219493    
             P-P     20     40      0.653697418827      0.446582732186      0.449842352747      0.419893989365      0.422190367959      0.486666020212    
             P-P     20     42                 N/A                 N/A      0.434977734034                 N/A                 N/A                 N/A    
             P-P     20     44                 N/A                 N/A      0.438092636659                 N/A                 N/A                 N/A    
             P-P     20     46                 N/A                 N/A      0.459496582437                 N/A                 N/A                 N/A    
             P-P     20     48                 N/A                 N/A      0.445360055234                 N/A                 N/A                 N/A    
             P-P     20     50                 N/A                 N/A       0.46778761834                 N/A                 N/A                 N/A    
             P-P     22     18       1.14398020457                 N/A       1.54128505412                 N/A                 N/A                 N/A    
             P-P     22     20       1.09258034153       1.11189067001       1.49141152033        1.2319667024       1.25183589558       1.19332561053    
             P-P     22     22       1.05662953142       1.10518944467       1.45678837891       1.16657562516       1.19844944611       1.16719005414    
             P-P     22     24       1.31186854028       1.94789858266       4.70768234913        1.9483027604       2.86635614475       1.85774416912    
             P-P     22     26       1.15935240893       1.62829256021       2.66111026843       1.74116911671       1.94082991828       1.52496675572    
             P-P     22     28      0.987247721185       1.07749041707       1.40339797735       1.29111099132       1.18358147612       1.12521790548    
             P-P     22     30       1.00265955447       1.02025694661       1.38489385481       1.11416547196        1.2685039043        1.0506546892    
             P-P     22     32       1.02533868218       1.05757686403       1.40703227697       1.12818557299       1.20757596936       1.07682993113    
             P-P     22     34       1.08383431316       1.30570121378       1.44569882913       1.17278046898       1.20503705489       1.11873466634    
             P-P     22     36       1.09024562689       1.24467125121       1.61744904025       1.17385634111        1.1243509684       1.13437750892    
             P-P     22     38        1.1145187522       1.19361012754       2.83946918963       1.13178377045       1.13651700158       1.13613027779    
             P-P     22     40       1.14275494791       1.19861571871       4.38059484097       1.16814787818       1.13414367899       1.16318124254    
             P-P     22     42        1.1487205407        1.3805437893       8.51647298788       1.17333502294       1.14028498573       1.18148390243    
             P-P     22     44       1.51920272241       1.51968986169       11.4604642634       1.70546310998       1.32971429426       1.46055657429    
             P-P     22     46       1.18755713263       1.22819644265       2.54119111981       1.53768323418       2.05001839892       1.28878393892    
             P-P     22     48       1.20533880718       1.31297306009       2.05290753294       1.40121029539       1.31171581939       1.21328007843    
             P-P     22     50       1.30361015278       1.51640139752       1.58405364873                 N/A                 N/A         1.241935569    
             P-P     22     52       1.51092664376       1.76487146882        1.8239546346                 N/A                 N/A                 N/A    
             P-P     22     54                 N/A       1.63994445508        2.0942265838                 N/A                 N/A                 N/A    
             P-P     22     56                 N/A       1.67719244693        1.7401730254                 N/A                 N/A                 N/A    
             P-P     24     20       1.35519488549       1.49382434344       2.11163696737       1.51101682366       1.88848496294                 N/A    
             P-P     24     22        1.2783698228       1.40602481634       2.02655804316       1.50234064673       1.79695568752       1.51342884331    
             P-P     24     24      0.969978439804      0.743881020694      0.872939698635       0.94790638287      0.819109496919      0.877762373048    
             P-P     24     26       1.00644147706      0.810903078431       1.02056931949      0.954357153372      0.931035630501      0.933567129662    
             P-P     24     28       1.23484154822        1.1107461076        1.6427313859       1.15273243697       1.34559846333       1.21687698864    
             P-P     24     30       1.22267885881       1.26493652865       1.76375008543       1.40172636619       1.31212588011       1.35810378833    
             P-P     24     32        1.2378202357       1.45087079451       1.76906298041       1.40418869488       1.44913569924       1.37435272282    
             P-P     24     34       1.27794833063       1.33476553675       1.91604099945       1.37358722262       1.49795622597       1.54953835379    
             P-P     24     36       1.34709344383       1.43035375151        1.7284867142       1.36308214683       1.61144188194       1.42825211221    
             P-P     24     38       1.34462233424       1.38034369868      0.937919572459        1.3836693805       1.48517461569       1.44228602335    
             P-P     24     40       1.35403930234       1.39699680612      0.824608460442       1.37457847692       1.46666598222       1.38208595469    
             P-P     24     42       1.36782299003         1.111154014      0.750052784965       1.36567525472       1.45754694121       1.36160617788    
             P-P     24     44       0.92750031477      0.825679115912      0.747685772344      0.813806719277       1.07392986916      0.883253925125    
             P-P     24     46       0.94703112844      0.875264712872       0.93551736098      0.857979509733      0.809865293081       0.88452347072    
             P-P     24     48      0.955766185184      0.897630211361         1.140714555       0.89796874979       1.01767057749      0.929528926359    
             P-P     24     50       1.02166935153      0.968875363389       1.72321690131      0.971730654725       1.41477134466       1.04409200539    
             P-P     24     52       1.16355851099       1.14594694323       1.37236946794       1.07606603172                 N/A       1.16415350179    
             P-P     24     54        1.4288194308       1.47275567683       1.46750108779       1.28494941957                 N/A       1.35585912488    
             P-P     24     56        1.6497866001       1.73719912254       1.95436078966       1.44849128769                 N/A       1.55188293837    
             P-P     24     58       1.69350519589       1.73784291985       2.01715794548                 N/A                 N/A                 N/A    
             P-P     26     22       1.20846103997       1.04577432661        1.3159383825       1.31916680106       1.27168056402                 N/A    
