    EDF      Z      N                 N-N                 P-P                 N-P
   SKMS      2      4      0.864190889397                 N/A                 N/A    
   SKMS      4      4      0.622833900476      0.492212823965     -0.274930263939    
   SKMS      4      6      0.429241566637      0.455955756789     -0.313590388078    
   SKMS      4      8      0.740375077716                 N/A                 N/A    
   SKMS      4     10       7.91666914063                 N/A                 N/A    
   SKMS      4     12       137.117784177                 N/A                 N/A    
   SKMS      6      4                 N/A      0.385932155443                 N/A    
   SKMS      6      6      0.334003511379      0.299089414799     -0.330325226657    
   SKMS      6      8      0.555253559314      0.300634315859     -0.423185575974    
   SKMS      6     10       2.29384629853      0.300944461527     -0.522816427781    
   SKMS      6     12       6.46021958286      0.320746363959     -0.623797630068    
   SKMS      6     14       1.60711695673      0.329769514193     -0.687009711226    
   SKMS      8      6      0.346172136691      0.470875580192     -0.439566863999    
   SKMS      8      8      0.441492381111      0.382933899769     -0.420130820335    
   SKMS      8     10       1.83868736109      0.337227126348     -0.521881104786    
   SKMS      8     12       2.36893426977      0.324055174606     -0.553027604926    
   SKMS      8     14       1.10996969228      0.292230461417     -0.648975276151    
   SKMS      8     16      0.630321191194      0.283186041194      -0.79226903872    
   SKMS      8     18       2.35785661402                 N/A                 N/A    
   SKMS     10      8      0.385305860126       1.11226075619     -0.528402283226    
   SKMS     10     10       2.39020874888       1.35809502727     -0.640122288962    
   SKMS     10     12       1.10497634384       1.07092810378     -0.592524386452    
   SKMS     10     14       1.04948643381       1.04861345775     -0.829993818621    
   SKMS     10     16      0.597549509218        1.0108668183     -0.867372838263    
   SKMS     10     18       2.03757699494        1.0542254013     -0.938176073133    
   SKMS     10     20       4.91363065712       1.12811589135      -1.00076758874    
   SKMS     10     22       6.64967674259                 N/A                 N/A    
   SKMS     10     24       2.55882580601                 N/A                 N/A    
   SKMS     10     26       3.54832013654                 N/A                 N/A    
   SKMS     12      8                 N/A       1.48875321385                 N/A    
   SKMS     12     10       1.53123176877      0.773892279612     -0.579728376965    
   SKMS     12     12      0.826248595894      0.637189230865     -0.671028238378    
   SKMS     12     14      0.979904606287      0.918321079486     -0.843912123431    
   SKMS     12     16      0.593748687259      0.972594239519     -0.895017170904    
   SKMS     12     18       1.86567077161      0.978525523493     -0.903681757625    
   SKMS     12     20       6.62778366914      0.990317173833     -0.942184719083    
   SKMS     12     22       2.94387357829      0.657263202035     -0.897667276931    
   SKMS     12     24       2.20986661245      0.595479122502      -1.08143970987    
   SKMS     12     26       2.21412590184      0.603920531305      -1.15877339201    
   SKMS     12     28       3.84499665005      0.792182426938      -1.44266940004    
   SKMS     12     30       22.6202122907                 N/A                 N/A    
   SKMS     12     32                 N/A       1.17096807151                 N/A    
   SKMS     14     10        1.8364764628                 N/A     -0.905404062593    
   SKMS     14     12        1.3194170024       0.77763566486     -0.824383788575    
   SKMS     14     14      0.663195501412      0.552142014239     -0.600454093408    
   SKMS     14     16      0.571604789019      0.510410394201     -0.848851217815    
   SKMS     14     18       1.73826734726      0.499759116106     -0.898620751939    
   SKMS     14     20       1.60746958969       0.48567696144     -0.931505254272    
   SKMS     14     22       5.70873193365      0.574642629749      -1.66025944874    
   SKMS     14     24       3.00394793858       0.56955416866      -1.30406362526    
   SKMS     14     26       3.97726594784      0.595572307019      -1.12808948457    
   SKMS     14     28       1.86644990962      0.488101429429     -0.920241729097    
   SKMS     14     30       3.87598025963      0.480003590427      -1.23308705502    
   SKMS     14     32       1.50982138813      0.483382167017      -1.67453208341    
   SKMS     16     14      0.618010685405      0.513520019257     -0.877018155811    
   SKMS     16     16      0.585348664395      0.520337048323     -0.970889575146    
   SKMS     16     18        1.5852074779      0.569862264291     -0.933654292557    
   SKMS     16     20       1.39562666428      0.619503167752     -0.984723492105    
   SKMS     16     22       2.89881119753       0.64067008966      -1.08567583728    
