    EDF      Z      N                 N-N                 P-P                 N-P
    SKP      2      4      0.769617650103                 N/A                 N/A    
    SKP      4      4       0.47737926422      0.395209429381     -0.243565308993    
    SKP      4      6      0.474789508006      0.367775104053     -0.302091895751    
    SKP      6      4                 N/A      0.427835032801                 N/A    
    SKP      6      6      0.380558484799      0.336927933221     -0.320358596599    
    SKP      6      8      0.459267190974      0.319172857157     -0.384618121321    
    SKP      6     10       1.67492825026                 N/A                 N/A    
    SKP      6     12       3.21867863586                 N/A                 N/A    
    SKP      6     14       1.62593099793                 N/A                 N/A    
    SKP      8      6      0.372620168141      0.396827955736       -0.4014681288    
    SKP      8      8      0.386319723225      0.336696680651     -0.410698405987    
    SKP      8     10       1.24394973945      0.303618517906      -0.49413730791    
    SKP      8     12       2.06769103527      0.285280882922     -0.550394536564    
    SKP      8     14       1.21638519513      0.273468970296     -0.608297019269    
    SKP      8     16      0.827553732547      0.265578115089     -0.695962997039    
    SKP     10      8      0.348043599074      0.927194164425     -0.503821930185    
    SKP     10     10       1.11249864414      0.819257633791     -0.588181838768    
    SKP     10     12       1.67709188912       0.93776345292     -0.622987749569    
    SKP     10     14       1.01375924739      0.773228808263     -0.670003731921    
    SKP     10     16      0.727266644679      0.756614513228     -0.752893274743    
    SKP     10     18       1.28985074492      0.787206167918     -0.860897291725    
    SKP     10     20       1.39773148181                 N/A                 N/A    
    SKP     10     22      -9.17995465102                 N/A                 N/A    
    SKP     12      8                 N/A       1.27643781945                 N/A    
    SKP     12     10       1.43365218953       1.11746077154     -0.641823806529    
    SKP     12     12      0.917371647666      0.699966891566     -0.568369686969    
    SKP     12     14       1.05016148858      0.864158590385     -0.790127982955    
    SKP     12     16      0.684049855606      0.805853396733     -0.769342767784    
    SKP     12     18       1.20632209282      0.802261575381     -0.824442748841    
    SKP     12     20       1.28695366806      0.791901382937     -0.862620745339    
    SKP     12     22       42.0216621668      0.733118346378     -0.911017089086    
    SKP     12     24        1.8905235616       0.60462955783      -1.03632956938    
    SKP     12     26       2.18723496864                 N/A                 N/A    
    SKP     12     28       5.19133306944                 N/A                 N/A    
    SKP     12     30       11.6763434363                 N/A                 N/A    
    SKP     14     10        1.0887811177      0.798234305716     -0.691274064762    
    SKP     14     12       1.28423406835      0.814590787263     -0.815883455944    
    SKP     14     14       0.78541577162      0.636740195833     -0.650591949217    
    SKP     14     16      0.680002767611      0.589461113177     -0.822310771387    
    SKP     14     18       1.11931945377      0.575122583784     -0.828236401031    
    SKP     14     20       1.08276903021      0.565426728259     -0.874928337901    
    SKP     14     22       2.89734349818      0.568298626152      -1.00359135165    
    SKP     14     24       3.06411272871      0.624464619162      -1.48131689072    
    SKP     14     26       3.66630064765      0.638232148009      -1.13938008039    
    SKP     14     28       2.34539314946      0.552086154149     -0.941518518728    
    SKP     14     30       4.49857226563      0.560305074907      -1.20718273729    
    SKP     14     32       1.66970483375      0.562106279683      -1.44566016433    
    SKP     16     12       1.19714385419      0.622335916079     -0.799475544043    
    SKP     16     14      0.726077208146      0.595887186638     -0.837399781564    
    SKP     16     16      0.716531400466       0.61224427322     -0.917330412553    
    SKP     16     18       1.05780368221      0.627579843453      -0.85830297623    
    SKP     16     20      0.969618224944      0.647040316273     -0.898363832411    
    SKP     16     22       1.93363288529      0.656505170224     -0.994669565797    
    SKP     16     24       4.04062851977      0.721505276458      -1.19998824012    
    SKP     16     26       2.72228846457      0.705323321974      -1.09623399772    
    SKP     16     28       2.57033893132      0.719693050914      -1.22304635162    
    SKP     16     30       2.63301497988      0.708489134522        -1.169666569    
    SKP     16     32       1.40471830833      0.693996720171      -1.43380584405    
    SKP     16     34       1.50808977055      0.714975026816      -1.71096278014    
    SKP     18     14       0.73251419933      0.894934869996     -0.890589320765    
    SKP     18     16      0.754395295591      0.850803158181     -0.881092395974    
    SKP     18     18       1.01081751636      0.819665412579     -0.829874141288    
    SKP     18     20      0.858551863401      0.815766648319     -0.861282859287    
    SKP     18     22       1.74144959135        0.7936500063     -0.973102947967    
    SKP     18     24        2.9617519355      0.794995819316      -1.03032504179    
    SKP     18     26       2.48870748977      0.821549067737      -1.13582702263    
    SKP     18     28       2.48743224856      0.835638826036      -1.18211868176    
    SKP     18     30       1.83555450725      0.794825684792      -1.20052126633    
    SKP     18     32       1.32782507232      0.803405475128      -1.49707378216    
    SKP     18     34       1.72959884117      0.834502157918       -1.5955452377    
    SKP     18     36        3.3034808778      0.854832184688      -1.40515206029    
    SKP     18     38       3.78254167888                 N/A                 N/A    
    SKP     20     16      0.805018485237                 N/A     -0.928509848472    
    SKP     20     18        1.0056090358      0.660500890851     -0.861807451532    
    SKP     20     20      0.753863550697      0.598213226823     -0.865629988193    
    SKP     20     22       1.68063343074      0.561280381581      -1.00656278939    
    SKP     20     24       2.56892918682      0.528044719051        -1.028065679    
    SKP     20     26       2.19094526142      0.509716600119      -1.08569233922    
    SKP     20     28       2.01223438506      0.493124245366      -1.15411837042    
    SKP     20     30       1.57502142029      0.476766569128      -1.29613721946    
    SKP     20     32       1.31338778858      0.467851414601      -1.46755439032    
    SKP     20     34       1.95644847864       0.46091939361      -1.48560320504    
    SKP     20     36       3.41097857564      0.449177426993      -1.35104873469    
    SKP     20     38       3.53101422204      0.438436404252      -1.33385664976    
    SKP     20     40       2.89903809916      0.419893989365      -1.36822582841    
    SKP     20     42       4.02362673619                 N/A                 N/A    
    SKP     20     44        5.8850618005                 N/A                 N/A    
    SKP     20     46        8.0014722709                 N/A                 N/A    
    SKP     22     20      0.694154369867        1.2319667024      -1.00242009271    
    SKP     22     22       1.61829187674       1.16657562516        -1.131882411    
    SKP     22     24       2.51981995886        1.9483027604      -1.16203098614    
    SKP     22     26       1.96483148132       1.74116911671      -1.17236627184    
    SKP     22     28       1.67936546855       1.29111099132       -1.2492968801    
    SKP     22     30       1.43797630718       1.11416547196      -1.42460847307    
    SKP     22     32       1.31260123437       1.12818557299      -1.55899834356    
    SKP     22     34       2.13373959735       1.17278046898      -1.56010803748    
