LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
HE         2.000000      2.000000     4.000000        26.097826      26.340187        52.438013         -1.489172            1.379825         -0.586937          -6.248598          -6.329411        -21.915170      -4.017300      -4.051248        -29.983718       -10.558154        -11.478886           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.597249          5.649244        1.956656        1.948751          1.952708           2.113884   
HE         2.000000      4.000000     6.000000        25.311378      51.913494        77.224872         -3.174255            1.372689         -0.584268          -3.768061          -5.834937        -29.520094      -3.536106      -3.103224        -36.159424       -18.715632         -4.272001           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.015006          3.725048        1.972735        2.389867          2.259396           2.128775   
HE         2.000000      6.000000     8.000000        24.364062      74.985096        99.349157         -3.546784            1.342260         -0.571692          -2.916110          -5.953684        -30.623106      -3.231614      -3.283025        -37.137744       -24.327412         -1.157699           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.718873          3.265396        2.021843        2.737245          2.577081           2.174362   
BE         4.000000      2.000000     6.000000        50.337932      25.547156        75.885088         -3.010147            4.620827         -1.239833          -5.615334          -3.979942        -26.845517      -3.012379      -3.614677        -33.472573        -2.530237        -19.452857           0.000001             0.000000              0.000001              0.000000            0.000000              0.000000             3.600581          5.103016        2.429629        1.971746          2.287209           2.557947   
BE         4.000000      4.000000     8.000000        56.212308      57.007209       113.219517         -6.573237            4.807899         -1.293812          -4.608034          -4.712326        -50.659149      -2.680348      -2.731483        -56.070979        -9.395810        -11.194073           0.000001             0.000001              0.000001              0.000000            0.000000              0.000000             3.335483          3.398626        2.311636        2.294974          2.303320           2.446152   
BE         4.000000      6.000000    10.000000        56.836999      86.605320       143.442319         -7.757172            4.777887         -1.287941          -3.799650          -5.067906        -64.886047      -2.315647      -3.088609        -70.290303       -15.263610         -6.628939           0.000001             0.000000              0.000000              0.000000            0.000000              0.000000             2.947363          3.324252        2.316687        2.521353          2.441546           2.450926   
BE         4.000000      8.000000    12.000000        55.763308     112.617225       168.380533         -6.624175            4.687430         -1.265431          -3.331065          -4.954526        -71.309115      -2.054861      -2.720865        -76.084841       -19.943264         -2.916974           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             2.659694          2.870412        2.356532        2.757826          2.630871           2.488623   
 C         6.000000      4.000000    10.000000        83.971689      57.244278       141.215967         -7.512251            9.788030         -2.013298          -4.656259          -3.895567        -60.528541      -2.971987      -2.360790        -65.861318        -4.112961        -16.965460           0.000001             0.000000              0.000001              0.000000            0.000000              0.000001             3.178553          3.000986        2.559241        2.308732          2.462098           2.681365   
 C         6.000000      6.000000    12.000000        86.858032      88.752724       175.610755         -9.246111            9.897299         -2.041452          -3.684272          -4.177559        -87.133698      -2.631738      -2.801215        -92.566650        -9.367937        -11.935334           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             2.948179          3.110596        2.513691        2.491339          2.502540           2.637924   
 C         6.000000      8.000000    14.000000        86.387273     118.403413       204.790685         -7.788035            9.795554         -2.024905          -3.366898          -4.588917       -103.724599      -2.476421      -2.560094       -108.761114       -14.114237         -7.220082           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             2.792835          2.847825        2.530573        2.675358          2.614289           2.654016   
 C         6.000000     10.000000    16.000000        85.148875     154.551722       239.700597         -9.375850            9.676541         -2.003655          -2.986853          -5.812524       -111.971637      -2.295492      -1.978922       -116.246051       -18.177819         -4.380843           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             2.613274          2.328075        2.556588        2.851683          2.744743           2.678832   
 C         6.000000     12.000000    18.000000        83.911247     192.060339       275.971586        -12.765021            9.574547         -1.985175          -2.537412          -6.877049       -117.105241      -2.091085      -2.146500       -121.342826       -21.698440         -3.109937          -0.000001            -0.000001             -0.000001             -0.000001           -0.000002             -0.000003             2.422628          2.279811        2.580699        3.009372          2.873595           2.701853   
 C         6.000000     14.000000    20.000000        82.685225     224.789882       307.475107        -15.626747            9.475461         -1.966794          -2.216425          -5.883340       -120.893828      -1.929186      -2.373841       -125.196855       -24.796880         -1.939631          -0.000002            -0.000001             -0.000001             -0.000001           -0.000002             -0.000003             2.269491          2.185040        2.605246        3.159869          3.004253           2.725308   
 C         6.000000     16.000000    22.000000        81.078993     252.115648       333.194641        -15.889860            9.355100         -1.943402          -2.068474          -5.070860       -122.287235      -1.820456      -2.483064       -126.590755       -27.382752         -0.430021          -0.000001            -0.000001             -0.000001             -0.000001           -0.000001             -0.000002             2.156356          2.155340        2.636815        3.314258          3.144011           2.755502   
 O         8.000000      4.000000    12.000000       107.131358      55.951910       163.083268         -6.147694           15.787932         -2.680272          -4.494117          -3.596660        -61.510943      -2.623421      -2.167895        -66.302259         0.121321        -21.357408           0.000000             0.000001              0.000000              0.000000            0.000000              0.000000             2.727645          2.778434        2.831762        2.355097          2.682302           2.942597   
 O         8.000000      6.000000    14.000000       114.701358      87.419681       202.121039         -7.484358           16.277635         -2.775689          -4.176281          -3.622492        -97.921263      -2.464662      -2.585097       -102.971022        -3.965690        -16.611451           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             2.737302          2.886444        2.715886        2.517492          2.632692           2.831261   
 O         8.000000      8.000000    16.000000       115.387308     117.909963       233.297271         -5.836343           16.272993         -2.783375          -3.640617          -3.952775       -124.158002      -2.332967      -2.414024       -128.904993        -8.093313        -11.381102           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             2.671073          2.754695        2.699840        2.673380          2.686643           2.815872   
 O         8.000000     10.000000    18.000000       114.448518     157.130560       271.579077         -7.947634           16.181346         -2.773404          -3.045247          -5.294552       -140.499935      -2.176381      -1.808530       -144.484846       -11.802606         -7.985352           0.000000            -0.000001             -0.000001              0.000000           -0.000001             -0.000001             2.573896          2.202755        2.706326        2.822315          2.771364           2.822091   
 O         8.000000     12.000000    20.000000       113.131779     197.876359       311.008138        -11.760719           16.075536         -2.759616          -2.492260          -6.152909       -152.848364      -2.019015      -1.981757       -156.849135       -15.123789         -6.399810          -0.000001            -0.000002             -0.000001             -0.000001           -0.000002             -0.000003             2.475371          2.171883        2.719001        2.948833          2.859118           2.834248   
 O         8.000000     14.000000    22.000000       111.664046     234.247679       345.911725        -14.941736           15.954809         -2.742582          -2.087313          -5.143543       -163.203751      -1.883239      -2.191910       -167.278899       -18.138303         -4.908961          -0.000001            -0.000001             -0.000001              0.000000           -0.000001             -0.000002             2.395380          2.102306        2.736170        3.066483          2.950650           2.850724   
