LBL            Z             N            A           Kinetic_P      Kinetic_N      Kinetic_total    Spin-orbit_energy    Coulomb_Direct   Coulomb_Exchange   Pairing_energy_P   Pairing_energy_N    HFB_Energy     LN_Energy_P    LN_Energy_N      HFB_Energy_LN    Fermi_Energy_P    Fermi_Energy_N    Quad_Def_Beta2_P     Quad_Def_Beta2_N    Quad_Def_Beta2_total    Quad_Moment_Q2_P    Quad_Moment_Q2_N    Quad_Moment_Q2_total    Pairing_gap_P     Pairing_gap_N    RMS_radius_P    RMS_radius_N    RMS_radius_total    Charge_Radius   
HE         2.000000      2.000000     4.000000        28.610022      25.639034        54.249057         -1.996734            1.417796         -0.602944          -7.043443          -4.349884        -21.209039      -4.108620      -3.404697        -28.722356       -10.878824        -11.241712           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             5.817592          4.777302        1.910495        1.922818          1.916666           2.071229   
HE         2.000000      4.000000     6.000000        28.211811      49.213041        77.424852         -3.735176            1.411855         -0.601420          -4.680710          -3.448291        -28.024886      -3.723316      -2.272954        -34.021157       -19.309275         -3.854313           0.000000             0.000001              0.000001              0.000000            0.000000              0.000000             5.269618          2.725376        1.917573        2.432311          2.273716           2.077760   
HE         2.000000      6.000000     8.000000        26.582050      68.891352        95.473402         -3.621475            1.371288         -0.584667          -3.538973          -3.087117        -29.141465      -3.362357      -2.290106        -34.793928       -24.217582         -1.254184           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             4.836632          2.313686        1.976717        2.822468          2.636588           2.132466   
BE         4.000000      2.000000     6.000000        50.448378      25.810322        76.258700         -3.250681            4.606894         -1.234659          -5.789132          -2.845842        -25.900589      -3.033463      -3.042475        -31.976527        -2.422314        -19.553727           0.000001             0.000000              0.000001              0.000000            0.000000              0.000000             3.595572          4.449738        2.440475        1.935693          2.284640           2.568252   
BE         4.000000      4.000000     8.000000        59.562821      58.321255       117.884077         -8.425056            4.922052         -1.324516          -5.039368          -3.123723        -50.320504      -2.931006      -2.189105        -55.440615        -9.729464        -11.384511           0.000001             0.000001              0.000001              0.000000            0.000000              0.000000             3.580254          2.717456        2.256475        2.258509          2.257492           2.394093   
BE         4.000000      6.000000    10.000000        60.628489      85.838701       146.467190         -9.811678            4.905592         -1.323381          -4.194577          -2.826615        -64.707763      -2.583764      -2.372489        -69.664016       -15.944787         -6.384214           0.000001             0.000000              0.000000              0.000000            0.000000              0.000000             3.215969          2.660334        2.252551        2.512392          2.411817           2.390394   
BE         4.000000      8.000000    12.000000        58.799852     108.218673       167.018525         -7.239582            4.779166         -1.291817          -3.774959          -2.774131        -70.601909      -2.333646      -2.035338        -74.970894       -20.277129         -2.633210           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             2.940061          2.240831        2.306576        2.798569          2.644760           2.441371   
 C         6.000000      4.000000    10.000000        86.539122      59.312160       145.851282         -9.339863            9.879132         -2.029852          -5.264320          -2.659861        -59.884556      -3.094061      -1.902332        -64.880948        -3.880716        -17.454834           0.000001             0.000001              0.000001              0.000000            0.000000              0.000001             3.307490          2.425657        2.539321        2.262052          2.432209           2.662358   
 C         6.000000      6.000000    12.000000        91.805207      90.660928       182.466134        -12.189264           10.093710         -2.081813          -4.559164          -2.561825        -87.311777      -2.877990      -2.275785        -92.465552        -9.219343        -11.806721           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.235329          2.678291        2.464500        2.454487          2.459498           2.591092   
 C         6.000000      8.000000    14.000000        90.576427     117.810286       208.386713         -9.181703            9.950594         -2.059088          -3.995407          -2.710398       -103.061816      -2.687929      -1.888063       -107.637808       -14.008022         -6.812213           0.000000             0.000000              0.000000              0.000000            0.000000              0.000000             3.048864          2.227063        2.488173        2.668232          2.592595           2.613619   
